scorer,DLC_dlcrnetms5_make_tea_pitcherJan29shuffle1_110000,DLC_dlcrnetms5_make_tea_pitcherJan29shuffle1_110000,DLC_dlcrnetms5_make_tea_pitcherJan29shuffle1_110000,DLC_dlcrnetms5_make_tea_pitcherJan29shuffle1_110000,DLC_dlcrnetms5_make_tea_pitcherJan29shuffle1_110000,DLC_dlcrnetms5_make_tea_pitcherJan29shuffle1_110000,DLC_dlcrnetms5_make_tea_pitcherJan29shuffle1_110000,DLC_dlcrnetms5_make_tea_pitcherJan29shuffle1_110000,DLC_dlcrnetms5_make_tea_pitcherJan29shuffle1_110000,DLC_dlcrnetms5_make_tea_pitcherJan29shuffle1_110000,DLC_dlcrnetms5_make_tea_pitcherJan29shuffle1_110000,DLC_dlcrnetms5_make_tea_pitcherJan29shuffle1_110000,DLC_dlcrnetms5_make_tea_pitcherJan29shuffle1_110000,DLC_dlcrnetms5_make_tea_pitcherJan29shuffle1_110000,DLC_dlcrnetms5_make_tea_pitcherJan29shuffle1_110000
individuals,pitcher,pitcher,pitcher,pitcher,pitcher,pitcher,pitcher,pitcher,pitcher,pitcher,pitcher,pitcher,pitcher,pitcher,pitcher
bodyparts,bodypart1,bodypart1,bodypart1,bodypart2,bodypart2,bodypart2,bodypart3,bodypart3,bodypart3,bodypart4,bodypart4,bodypart4,bodypart5,bodypart5,bodypart5
coords,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood
60,398.526,170.825,1.0,413.762,225.813,0.9900000095367432,467.766,299.33,0.9990000128746033,461.715,356.971,1.0,508.228,418.387,0.19900000095367432
61,398.526,169.623,1.0,413.541,226.43,0.9300000071525574,452.085,299.33,0.6800000071525574,465.951,357.386,0.9879999756813049,515.428,411.774,0.06300000101327896
62,402.214,167.742,1.0,413.541,226.43,0.996999979019165,459.133,299.603,0.9980000257492065,468.42,361.356,0.9940000176429749,515.428,411.774,0.9879999756813049
63,403.701,167.122,1.0,413.001,228.078,0.9959999918937683,458.437,299.792,0.34299999475479126,468.42,361.356,0.7990000247955322,508.228,418.387,0.9509999752044678
64,403.701,167.122,1.0,413.541,228.078,0.9959999918937683,452.063,299.603,0.20200000703334808,467.977,361.356,0.9490000009536743,507.906,419.081,0.9860000014305115
65,403.701,167.742,1.0,443.583,214.391,0.9900000095367432,452.063,299.603,0.7129999995231628,467.977,361.92,0.953000009059906,499.988,420.056,0.5899999737739563
66,403.519,168.421,1.0,444.06,214.158,0.9959999918937683,452.063,299.603,0.9279999732971191,467.977,361.92,0.7289999723434448,499.988,420.056,0.9980000257492065
67,402.468,168.468,1.0,444.06,214.158,0.9610000252723694,451.002,299.309,0.9990000128746033,467.977,361.484,1.0,492.464,422.296,1.0
68,399.368,168.468,1.0,444.06,214.158,0.9909999966621399,450.654,298.654,0.9120000004768372,468.059,361.484,0.9100000262260437,492.464,422.296,0.9700000286102295
69,396.953,168.468,1.0,426.955,221.521,0.8790000081062317,446.015,298.654,0.9440000057220459,475.683,361.068,0.8220000267028809,499.657,421.483,0.9990000128746033
