scorer,DLC_dlcrnetms5_make_tea_pitcherJan29shuffle1_110000,DLC_dlcrnetms5_make_tea_pitcherJan29shuffle1_110000,DLC_dlcrnetms5_make_tea_pitcherJan29shuffle1_110000,DLC_dlcrnetms5_make_tea_pitcherJan29shuffle1_110000,DLC_dlcrnetms5_make_tea_pitcherJan29shuffle1_110000,DLC_dlcrnetms5_make_tea_pitcherJan29shuffle1_110000,DLC_dlcrnetms5_make_tea_pitcherJan29shuffle1_110000,DLC_dlcrnetms5_make_tea_pitcherJan29shuffle1_110000,DLC_dlcrnetms5_make_tea_pitcherJan29shuffle1_110000,DLC_dlcrnetms5_make_tea_pitcherJan29shuffle1_110000,DLC_dlcrnetms5_make_tea_pitcherJan29shuffle1_110000,DLC_dlcrnetms5_make_tea_pitcherJan29shuffle1_110000,DLC_dlcrnetms5_make_tea_pitcherJan29shuffle1_110000,DLC_dlcrnetms5_make_tea_pitcherJan29shuffle1_110000,DLC_dlcrnetms5_make_tea_pitcherJan29shuffle1_110000
individuals,pitcher,pitcher,pitcher,pitcher,pitcher,pitcher,pitcher,pitcher,pitcher,pitcher,pitcher,pitcher,pitcher,pitcher,pitcher
bodyparts,bodypart1,bodypart1,bodypart1,bodypart2,bodypart2,bodypart2,bodypart3,bodypart3,bodypart3,bodypart4,bodypart4,bodypart4,bodypart5,bodypart5,bodypart5
coords,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood
76,400.519,167.946,1.0,413.189,225.987,0.996999979019165,449.616,299.305,0.996999979019165,467.431,356.784,0.7129999995231628,492.334,420.576,0.27300000190734863
77,400.9,168.133,1.0,419.495,220.533,0.9639999866485596,451.843,300.313,0.949999988079071,476.307,362.075,0.7549999952316284,491.781,422.14,0.953000009059906
78,401.598,167.555,1.0,429.802,222.221,1.0,451.849,298.92,0.9980000257492065,466.093,364.092,0.9990000128746033,516.034,419.454,0.8790000081062317
79,400.258,168.065,1.0,419.153,222.529,0.9980000257492065,450.847,297.737,1.0,466.439,363.51,0.9909999966621399,517.575,419.298,1.0
80,400.767,167.741,1.0,429.929,222.309,0.9990000128746033,445.728,296.781,1.0,464.836,364.296,1.0,508.702,419.442,0.9399999976158142
81,400.389,169.317,1.0,420.315,222.303,0.9990000128746033,448.93,295.001,1.0,466.761,362.829,0.9679999947547913,499.022,420.589,0.968999981880188
82,399.452,169.505,1.0,429.391,221.494,1.0,450.866,296.998,0.9990000128746033,467.317,363.801,0.8489999771118164,491.766,421.353,0.9399999976158142
83,400.932,168.333,1.0,436.379,220.218,0.9980000257492065,452.538,296.481,1.0,464.814,355.99,0.9990000128746033,499.975,420.422,0.8149999976158142
84,399.029,169.741,1.0,429.726,220.64,0.9909999966621399,453.108,297.018,1.0,465.493,363.963,0.996999979019165,489.73,422.743,1.0
85,400.654,167.853,1.0,439.283,220.515,1.0,452.148,297.682,1.0,464.301,358.078,0.9990000128746033,490.805,422.182,0.9819999933242798
86,399.95,167.323,1.0,446.448,214.52,0.9990000128746033,453.6,293.957,1.0,466.95,355.827,1.0,498.738,421.207,0.9990000128746033
87,399.514,169.274,1.0,438.013,221.11,0.9990000128746033,452.729,299.709,1.0,466.858,355.984,0.9950000047683716,490.616,422.287,0.9890000224113464
88,400.174,169.097,1.0,438.855,220.726,1.0,454.039,296.314,1.0,466.239,355.558,1.0,509.386,419.672,0.9409999847412109
89,400.243,167.391,1.0,441.472,219.682,1.0,451.186,297.257,1.0,468.514,363.474,1.0,497.771,424.03,1.0
90,398.016,170.313,1.0,413.375,227.538,0.7730000019073486,452.953,306.656,0.9929999709129333,476.044,361.558,0.9419999718666077,499.914,422.214,0.996999979019165
91,397.101,169.984,1.0,413.012,226.426,0.8970000147819519,452.458,300.747,0.968999981880188,466.8,356.759,0.9860000014305115,498.602,421.246,0.9860000014305115
92,394.808,170.1,1.0,404.762,227.463,0.996999979019165,452.257,306.405,1.0,467.369,363.365,1.0,491.396,422.434,0.9990000128746033
93,398.248,169.916,1.0,413.408,226.385,0.9940000176429749,450.946,297.979,1.0,467.343,357.236,0.9039999842643738,508.81,420.873,0.9990000128746033
94,398.71,169.838,1.0,411.777,226.644,0.9089999794960022,452.307,298.308,1.0,467.043,357.84,0.9929999709129333,515.658,418.806,0.9990000128746033
95,397.634,170.095,1.0,405.175,227.035,0.9829999804496765,452.222,298.886,1.0,466.633,357.837,0.996999979019165,514.615,420.362,1.0
