scorer,Luke,Luke,Luke,Luke,Luke,Luke,Luke,Luke,Luke,Luke,Luke,Luke,Luke,Luke,Luke,Luke,Luke,Luke,Luke,Luke,Luke,Luke,Luke,Luke,Luke,Luke,Luke,Luke,Luke,Luke
individuals,individual1,individual1,individual1,individual1,individual1,individual1,individual2,individual2,individual2,individual2,individual2,individual2,single,single,single,single,single,single,single,single,single,single,single,single,single,single,single,single,single,single
bodyparts,head,head,middle,middle,tail,tail,head,head,middle,middle,tail,tail,cup_h,cup_h,cup_m,cup_m,cup_t,cup_t,pitcher_h,pitcher_h,pitcher_m,pitcher_m,pitcher_t,pitcher_t,tap_h,tap_h,tap_m,tap_m,tap_t,tap_t
metrics,rmse,conf,rmse,conf,rmse,conf,rmse,conf,rmse,conf,rmse,conf,rmse,conf,rmse,conf,rmse,conf,rmse,conf,rmse,conf,rmse,conf,rmse,conf,rmse,conf,rmse,conf
25,3.478279452318768,1.0,4.447673470653233,1.0,5.525439727488865,0.9990000128746033,,,,,,,3.53487082940691,1.0,2.002504369009221,1.0,1.5648664619077859,1.0,2.481472465214115,0.9980000257492065,7.0491040549310755,0.8820000290870667,5.806772893336234,0.9610000252723694,1.9462665999129318,0.9929999709129333,2.7973729585433755,0.9890000224113464,4.671994573562156,0.9959999918937683
26,1.2664207810289234,1.0,0.9894085169230185,1.0,3.491880065357138,1.0,,,,,,,1.2372360789111234,1.0,1.6980493667860268,1.0,2.4505951141309112,1.0,7.179025146859364,0.9950000047683716,10.470746734448012,0.7670000195503235,3.6778854183369583,0.9879999756813049,2.154215215952424,0.9919999837875366,2.6566902912255212,0.9909999966621399,2.861695511916593,0.996999979019165
27,2.184036752274012,1.0,2.086477723447986,1.0,3.5315030879811746,1.0,,,,,,,2.292052097222415,1.0,2.8032813021080516,1.0,0.5500821701106023,1.0,1.3319260846358734,0.9959999918937683,2.8106813495388323,0.9350000023841858,3.1501399129120085,0.953000009059906,8.101854537791834,0.9919999837875366,6.449238312654733,0.9909999966621399,3.1864789787477577,0.996999979019165
28,2.343019563068235,1.0,1.3896517642990367,1.0,1.5038305112541748,1.0,,,,,,,1.687165551344687,1.0,5.548174341465341,1.0,0.320412753464881,1.0,3.3596981952385043,0.9539999961853027,2.023983227546522,0.9599999785423279,2.1224363099033323,0.9649999737739563,3.1246622955777275,0.9929999709129333,2.9912379959395117,0.9909999966621399,6.669164899544328,0.9959999918937683
29,,,3.008028869763955,1.0,3.4391962871431714,1.0,,,,,,,0.8742726978141961,1.0,2.87053459987505,1.0,0.9877891543087133,1.0,2.6823565089610675,0.9869999885559082,6.261832309564928,0.9240000247955322,4.25503810246222,0.9509999752044678,2.83420551379381,0.9940000176429749,2.562803374328941,0.9940000176429749,3.9214052072183234,0.996999979019165
30,3.999169367985261,1.0,1.5978544223652538,1.0,1.5822728684483078,0.9990000128746033,,,,,,,3.7006650489433857,0.9990000128746033,1.4699742654715107,1.0,1.3634825595025208,1.0,3.664788351471869,0.9919999837875366,4.5111349377539085,0.953000009059906,1.8667791943186458,0.925000011920929,1.011346049344383,0.9980000257492065,3.0816615005682446,0.9800000190734863,0.43231088401056605,0.9980000257492065
31,2.2919896709982894,1.0,2.644615780438661,1.0,3.3930966397188693,0.9990000128746033,,,,,,,1.862183963948888,1.0,1.7931709713876232,1.0,1.6747401839197888,1.0,5.50928658706665,0.9929999709129333,3.235484630846671,0.9470000267028809,1.1363581308515558,0.9769999980926514,4.164030084811883,0.9980000257492065,4.194170320401855,0.9800000190734863,2.22066193620206,0.9980000257492065
32,3.994631705825459,1.0,4.541165435204419,1.0,2.8452287484479437,0.9990000128746033,,,,,,,0.8341609224090205,1.0,2.0213884590256974,1.0,1.074994866827692,1.0,1.6013208940416637,0.9919999837875366,3.6935601001530096,0.9580000042915344,6.252559367119853,0.9620000123977661,2.298798246034851,0.996999979019165,5.130071087261126,0.9890000224113464,2.4591390699893445,0.9980000257492065
33,0.6152804991015356,1.0,2.616487398637201,1.0,3.196974904077763,0.9990000128746033,,,,,,,3.262895143717177,1.0,2.556091015343076,1.0,1.9874024339075245,1.0,5.099883508784144,0.9950000047683716,3.5855001151540518,0.9259999990463257,8.42610366543328,0.9599999785423279,7.328253554540699,0.9950000047683716,2.964830357917885,0.9909999966621399,3.687708464308448,0.9980000257492065
34,1.5609111815088237,1.0,2.812092157672598,0.9990000128746033,0.9249150035580018,0.9990000128746033,,,,,,,0.9476295988333732,1.0,0.9085909688015155,1.0,0.3094873870976641,1.0,3.349551122277361,0.9900000095367432,9.115825688878555,0.8809999823570251,1.7573148274965005,0.9620000123977661,5.132015535422566,0.996999979019165,3.9138834356600696,0.9850000143051147,3.2411473140242926,0.9980000257492065
