scorer,DLC_dlcrnetms5_make_tea_tapJan29shuffle1_50000,DLC_dlcrnetms5_make_tea_tapJan29shuffle1_50000,DLC_dlcrnetms5_make_tea_tapJan29shuffle1_50000,DLC_dlcrnetms5_make_tea_tapJan29shuffle1_50000,DLC_dlcrnetms5_make_tea_tapJan29shuffle1_50000,DLC_dlcrnetms5_make_tea_tapJan29shuffle1_50000,DLC_dlcrnetms5_make_tea_tapJan29shuffle1_50000,DLC_dlcrnetms5_make_tea_tapJan29shuffle1_50000,DLC_dlcrnetms5_make_tea_tapJan29shuffle1_50000,DLC_dlcrnetms5_make_tea_cupJan29shuffle1_150000,DLC_dlcrnetms5_make_tea_cupJan29shuffle1_150000,DLC_dlcrnetms5_make_tea_cupJan29shuffle1_150000,DLC_dlcrnetms5_make_tea_cupJan29shuffle1_150000,DLC_dlcrnetms5_make_tea_cupJan29shuffle1_150000,DLC_dlcrnetms5_make_tea_cupJan29shuffle1_150000,DLC_dlcrnetms5_make_tea_cupJan29shuffle1_150000,DLC_dlcrnetms5_make_tea_cupJan29shuffle1_150000,DLC_dlcrnetms5_make_tea_cupJan29shuffle1_150000,DLC_dlcrnetms5_make_tea_teabagJan29shuffle1_200000,DLC_dlcrnetms5_make_tea_teabagJan29shuffle1_200000,DLC_dlcrnetms5_make_tea_teabagJan29shuffle1_200000,DLC_dlcrnetms5_make_tea_teabagJan29shuffle1_200000,DLC_dlcrnetms5_make_tea_teabagJan29shuffle1_200000,DLC_dlcrnetms5_make_tea_teabagJan29shuffle1_200000,DLC_dlcrnetms5_make_tea_teabagJan29shuffle1_200000,DLC_dlcrnetms5_make_tea_teabagJan29shuffle1_200000,DLC_dlcrnetms5_make_tea_teabagJan29shuffle1_200000,DLC_dlcrnetms5_make_tea_teabagJan29shuffle1_200000,DLC_dlcrnetms5_make_tea_teabagJan29shuffle1_200000,DLC_dlcrnetms5_make_tea_teabagJan29shuffle1_200000,DLC_dlcrnetms5_make_tea_teabagJan29shuffle1_200000,DLC_dlcrnetms5_make_tea_teabagJan29shuffle1_200000,DLC_dlcrnetms5_make_tea_teabagJan29shuffle1_200000,DLC_dlcrnetms5_make_tea_teabagJan29shuffle1_200000,DLC_dlcrnetms5_make_tea_teabagJan29shuffle1_200000,DLC_dlcrnetms5_make_tea_teabagJan29shuffle1_200000,DLC_dlcrnetms5_make_tea_pitcherJan29shuffle1_200000,DLC_dlcrnetms5_make_tea_pitcherJan29shuffle1_200000,DLC_dlcrnetms5_make_tea_pitcherJan29shuffle1_200000,DLC_dlcrnetms5_make_tea_pitcherJan29shuffle1_200000,DLC_dlcrnetms5_make_tea_pitcherJan29shuffle1_200000,DLC_dlcrnetms5_make_tea_pitcherJan29shuffle1_200000,DLC_dlcrnetms5_make_tea_pitcherJan29shuffle1_200000,DLC_dlcrnetms5_make_tea_pitcherJan29shuffle1_200000,DLC_dlcrnetms5_make_tea_pitcherJan29shuffle1_200000,DLC_dlcrnetms5_make_tea_pitcherJan29shuffle1_200000,DLC_dlcrnetms5_make_tea_pitcherJan29shuffle1_200000,DLC_dlcrnetms5_make_tea_pitcherJan29shuffle1_200000,DLC_dlcrnetms5_make_tea_pitcherJan29shuffle1_200000,DLC_dlcrnetms5_make_tea_pitcherJan29shuffle1_200000,DLC_dlcrnetms5_make_tea_pitcherJan29shuffle1_200000
17,1899.448,76.538,0.9909999966621399,1867.551,54.813,0.9990000128746033,1853.019,35.534,0.34200000762939453,1124.904,399.547,1.0,1128.277,437.481,1.0,1121.267,470.715,1.0,1131.744,339.811,1.0,1124.915,384.447,1.0,1123.576,429.088,1.0,682.763,521.659,1.0,686.358,576.392,1.0,693.127,623.958,1.0,1817.069,464.638,1.0,1782.994,529.116,1.0,1754.0,587.16,1.0,1719.429,643.748,1.0,1686.502,710.096,1.0
18,1900.264,75.66,0.9890000224113464,1867.127,54.581,0.9990000128746033,1859.709,27.552,0.054999999701976776,1124.129,399.455,1.0,1127.37,436.507,1.0,1121.638,471.28,1.0,1131.969,339.608,1.0,1124.862,384.051,1.0,1123.523,428.66,1.0,683.457,521.928,1.0,686.355,576.652,1.0,693.287,623.383,1.0,1816.929,464.906,1.0,1783.526,528.543,1.0,1752.933,589.531,1.0,1720.258,644.973,1.0,1686.427,710.1,1.0
19,1899.746,75.251,0.9909999966621399,1865.882,53.428,0.9990000128746033,,,1.0,1124.077,399.081,1.0,1128.538,436.455,1.0,1129.682,472.512,1.0,1131.161,339.611,1.0,1125.214,384.154,1.0,1123.765,428.833,1.0,683.066,521.554,1.0,686.143,576.417,1.0,693.227,623.602,1.0,1816.759,463.382,1.0,1784.9,527.873,1.0,1752.902,590.153,1.0,1724.366,642.374,1.0,1686.675,712.083,1.0
20,1899.88,75.245,0.9810000061988831,1866.998,54.042,0.9990000128746033,1852.082,35.461,0.029999999329447746,1124.308,398.903,1.0,1127.155,435.875,1.0,1130.839,472.779,1.0,1130.962,339.54,1.0,1124.421,383.888,1.0,1124.247,429.359,1.0,683.426,521.365,1.0,686.529,576.614,1.0,693.396,623.65,1.0,1817.022,463.097,1.0,1782.83,527.565,1.0,1752.984,590.041,1.0,1724.088,645.127,1.0,1689.55,713.774,1.0
21,1899.607,74.596,0.9879999756813049,1867.189,53.523,0.9990000128746033,1852.73,35.789,0.06599999964237213,1123.987,399.483,1.0,1127.565,438.807,1.0,1131.212,473.192,1.0,1131.34,339.541,1.0,1124.347,383.295,1.0,1124.112,428.602,1.0,683.526,521.818,1.0,680.552,572.546,1.0,693.305,623.633,1.0,1816.645,463.921,1.0,1784.749,526.404,1.0,1751.904,590.963,1.0,1723.128,644.801,1.0,1686.797,709.477,1.0
22,1899.509,75.371,0.9879999756813049,1867.729,53.57,0.9990000128746033,1853.139,36.027,0.11699999868869781,1123.669,399.285,1.0,1128.607,438.306,1.0,1131.968,472.806,1.0,1132.355,339.113,1.0,1127.739,381.444,1.0,1124.542,428.299,1.0,683.731,521.947,1.0,686.259,576.652,1.0,693.438,623.744,1.0,1817.924,463.026,1.0,1784.075,527.116,1.0,1753.368,590.934,1.0,1723.529,646.515,1.0,1686.302,709.639,1.0
23,1899.084,75.692,0.9929999709129333,1867.095,53.396,0.9990000128746033,1851.924,35.479,0.02500000037252903,1124.646,399.49,1.0,1127.54,437.476,1.0,1131.422,473.192,1.0,1131.44,339.521,1.0,1127.576,383.018,1.0,1124.954,428.584,1.0,683.863,522.549,1.0,680.736,572.186,1.0,693.201,623.57,1.0,1816.253,462.965,1.0,1783.646,526.831,1.0,1753.384,590.323,1.0,1724.412,645.617,1.0,1686.307,708.886,1.0
24,1899.162,77.251,0.9900000095367432,1864.35,53.458,1.0,1859.73,12.442,0.017000000923871994,1120.466,400.479,1.0,1128.624,433.014,1.0,1132.149,472.332,1.0,1132.446,340.795,1.0,1128.104,382.138,1.0,1124.116,428.993,1.0,683.883,522.701,1.0,687.005,576.638,1.0,692.957,623.808,1.0,1816.354,463.882,1.0,1783.948,527.566,1.0,1753.375,590.34,1.0,1719.987,647.764,1.0,1687.607,710.54,1.0
25,1898.806,77.646,0.9879999756813049,1864.571,52.209,1.0,1859.777,12.395,0.035999998450279236,1121.167,396.741,1.0,1128.31,432.597,1.0,1131.824,472.039,1.0,1132.499,340.424,1.0,1128.232,382.238,1.0,1123.669,429.335,1.0,682.821,522.704,1.0,686.56,576.243,1.0,692.989,624.115,1.0,1816.274,464.782,1.0,1782.387,529.256,1.0,1753.034,589.307,1.0,1721.07,646.699,1.0,1689.583,712.567,1.0
26,1898.471,77.987,0.9879999756813049,1865.504,52.959,1.0,1859.65,12.412,0.01600000075995922,1122.081,397.574,1.0,1127.907,436.251,1.0,1129.157,471.639,1.0,1131.57,340.63,1.0,1124.754,381.689,1.0,1123.635,429.361,1.0,683.73,522.408,1.0,686.759,575.839,1.0,692.961,623.848,1.0,1816.844,463.36,1.0,1783.436,529.511,1.0,1749.655,590.618,1.0,1724.432,650.163,1.0,1686.6,710.122,1.0
27,1898.298,80.148,0.9900000095367432,1864.718,53.118,1.0,,,1.0,1122.837,397.412,1.0,1128.118,434.684,1.0,1131.793,472.244,1.0,1133.136,341.054,1.0,1124.839,382.023,1.0,1123.878,428.861,1.0,683.115,522.454,1.0,686.889,575.545,1.0,693.317,623.382,1.0,1817.043,462.761,1.0,1784.581,526.922,1.0,1752.247,590.332,1.0,1720.237,647.959,1.0,1688.97,712.943,1.0
28,1899.446,76.311,0.9900000095367432,1864.559,53.06,1.0,,,1.0,1121.302,400.897,1.0,1128.774,434.336,1.0,1130.934,471.404,1.0,1132.408,340.442,1.0,1124.501,381.747,1.0,1123.64,428.855,1.0,683.657,521.989,1.0,686.787,575.282,1.0,693.405,623.654,1.0,1816.544,463.714,1.0,1784.692,527.624,1.0,1752.807,591.007,1.0,1722.794,650.723,1.0,1687.467,710.586,1.0
29,1898.262,76.832,0.9900000095367432,1863.867,51.251,1.0,1851.943,4.072,0.02500000037252903,1123.837,397.144,1.0,1129.381,436.136,1.0,1129.7,471.166,1.0,1133.131,340.719,1.0,1124.8,381.487,1.0,1124.024,428.635,1.0,683.104,522.0,1.0,686.748,575.71,1.0,693.238,623.568,1.0,1815.279,464.902,1.0,1784.944,527.739,1.0,1752.669,590.591,1.0,1722.771,650.013,1.0,1684.931,710.035,1.0
30,1897.801,78.332,0.9879999756813049,1864.154,51.885,1.0,,,1.0,1122.622,397.181,1.0,1126.179,435.28,1.0,1122.93,470.46,1.0,1134.216,340.801,1.0,1124.835,382.465,1.0,1124.119,428.66,1.0,683.539,522.547,1.0,686.653,576.04,1.0,693.33,623.532,1.0,1816.966,464.612,1.0,1783.958,529.376,1.0,1753.561,587.509,1.0,1724.07,649.685,1.0,1683.116,708.832,1.0
31,1898.417,77.312,0.9869999885559082,1863.258,51.511,1.0,1860.04,3.725,0.02800000086426735,1122.628,397.265,1.0,1126.163,437.803,1.0,1123.194,470.271,1.0,1133.499,341.071,1.0,1124.588,383.052,1.0,1124.468,428.373,1.0,683.344,522.829,1.0,686.291,575.97,1.0,693.027,623.825,1.0,1816.552,463.762,1.0,1783.352,529.085,1.0,1753.293,588.983,1.0,1722.636,649.227,1.0,1685.661,712.163,1.0
32,1899.037,76.562,0.9860000014305115,1864.123,51.527,1.0,,,1.0,1121.384,401.673,1.0,1125.668,435.313,1.0,1120.5,470.108,1.0,1132.916,341.15,1.0,1124.753,382.878,1.0,1125.064,428.66,1.0,683.093,522.241,1.0,686.369,575.996,1.0,693.059,623.503,1.0,1817.114,464.555,1.0,1783.826,528.86,1.0,1752.563,592.127,1.0,1720.545,648.668,1.0,1684.644,709.417,1.0
33,1899.535,75.362,0.9869999885559082,1863.078,52.632,1.0,,,1.0,1123.642,397.033,1.0,1126.248,436.133,1.0,1120.627,470.663,1.0,1133.302,340.626,1.0,1124.365,382.883,1.0,1125.35,428.544,1.0,679.817,524.596,1.0,686.761,576.4,1.0,693.035,623.434,1.0,1817.288,464.428,1.0,1783.026,529.281,1.0,1749.796,592.086,1.0,1719.653,648.049,1.0,1692.381,712.957,1.0
