scorer,DLC_dlcrnetms5_make_tea_01052022Jan5shuffle1_40000,DLC_dlcrnetms5_make_tea_01052022Jan5shuffle1_40000,DLC_dlcrnetms5_make_tea_01052022Jan5shuffle1_40000,DLC_dlcrnetms5_make_tea_01052022Jan5shuffle1_40000,DLC_dlcrnetms5_make_tea_01052022Jan5shuffle1_40000,DLC_dlcrnetms5_make_tea_01052022Jan5shuffle1_40000,DLC_dlcrnetms5_make_tea_01052022Jan5shuffle1_40000,DLC_dlcrnetms5_make_tea_01052022Jan5shuffle1_40000,DLC_dlcrnetms5_make_tea_01052022Jan5shuffle1_40000,DLC_dlcrnetms5_make_tea_01052022Jan5shuffle1_40000,DLC_dlcrnetms5_make_tea_01052022Jan5shuffle1_40000,DLC_dlcrnetms5_make_tea_01052022Jan5shuffle1_40000,DLC_dlcrnetms5_make_tea_01052022Jan5shuffle1_40000,DLC_dlcrnetms5_make_tea_01052022Jan5shuffle1_40000,DLC_dlcrnetms5_make_tea_01052022Jan5shuffle1_40000,DLC_dlcrnetms5_make_tea_01052022Jan5shuffle1_40000,DLC_dlcrnetms5_make_tea_01052022Jan5shuffle1_40000,DLC_dlcrnetms5_make_tea_01052022Jan5shuffle1_40000,DLC_dlcrnetms5_make_tea_01052022Jan5shuffle1_40000,DLC_dlcrnetms5_make_tea_01052022Jan5shuffle1_40000,DLC_dlcrnetms5_make_tea_01052022Jan5shuffle1_40000,DLC_dlcrnetms5_make_tea_01052022Jan5shuffle1_40000,DLC_dlcrnetms5_make_tea_01052022Jan5shuffle1_40000,DLC_dlcrnetms5_make_tea_01052022Jan5shuffle1_40000,DLC_dlcrnetms5_make_tea_01052022Jan5shuffle1_40000,DLC_dlcrnetms5_make_tea_01052022Jan5shuffle1_40000,DLC_dlcrnetms5_make_tea_01052022Jan5shuffle1_40000,DLC_dlcrnetms5_make_tea_01052022Jan5shuffle1_40000,DLC_dlcrnetms5_make_tea_01052022Jan5shuffle1_40000,DLC_dlcrnetms5_make_tea_01052022Jan5shuffle1_40000,DLC_dlcrnetms5_make_tea_01052022Jan5shuffle1_40000,DLC_dlcrnetms5_make_tea_01052022Jan5shuffle1_40000,DLC_dlcrnetms5_make_tea_01052022Jan5shuffle1_40000
individuals,ind1,ind1,ind1,ind1,ind1,ind1,single,single,single,single,single,single,single,single,single,single,single,single,single,single,single,single,single,single,single,single,single,single,single,single,single,single,single
bodyparts,head,head,head,tail,tail,tail,cup_h,cup_h,cup_h,cup_m,cup_m,cup_m,cup_t,cup_t,cup_t,pitcher_h,pitcher_h,pitcher_h,pitcher_m,pitcher_m,pitcher_m,pitcher_t,pitcher_t,pitcher_t,tap_h,tap_h,tap_h,tap_m,tap_m,tap_m,tap_t,tap_t,tap_t
coords,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood
20,,,,,,,822.884,607.817,1.0,843.427,635.388,0.9990000128746033,861.661,669.915,0.9990000128746033,489.491,304.388,0.9900000095367432,548.963,421.403,0.9929999709129333,607.419,554.988,0.9869999885559082,493.847,41.903,0.9929999709129333,535.429,103.814,0.9890000224113464,560.787,190.224,0.9980000257492065
21,,,,,,,822.72,607.806,1.0,843.392,635.374,0.9980000257492065,861.169,670.124,0.9990000128746033,489.468,304.379,0.9900000095367432,551.316,421.904,0.9950000047683716,607.419,554.988,0.9929999709129333,493.884,41.938,0.9929999709129333,535.429,103.814,0.9879999756813049,560.743,190.224,0.9980000257492065
22,,,,,,,822.616,607.771,1.0,843.113,635.367,0.9990000128746033,859.614,670.196,0.9990000128746033,489.468,304.332,0.9909999966621399,552.17,422.335,0.9959999918937683,607.326,554.586,0.9890000224113464,493.884,41.938,0.9929999709129333,535.429,103.881,0.9879999756813049,560.743,190.224,0.9980000257492065
23,,,,,,,822.592,607.771,1.0,843.059,635.109,0.9990000128746033,858.217,670.204,0.9990000128746033,489.341,304.332,0.9900000095367432,552.246,422.196,0.9850000143051147,607.009,554.586,0.9909999966621399,493.884,41.903,0.9929999709129333,534.031,104.384,0.9850000143051147,560.701,190.594,0.9980000257492065
24,,,,,,,821.844,607.722,1.0,842.932,634.832,0.9990000128746033,858.199,670.279,0.9990000128746033,489.337,304.379,0.9909999966621399,552.17,422.196,0.9929999709129333,607.009,554.586,0.9909999966621399,493.898,41.892,0.9929999709129333,533.961,104.429,0.984000027179718,560.701,190.594,0.996999979019165
25,,,,,,,821.809,607.722,1.0,842.726,634.832,0.9980000257492065,857.392,670.298,0.9990000128746033,489.337,304.379,0.9900000095367432,552.17,422.196,0.9869999885559082,606.717,554.566,0.9890000224113464,493.964,41.892,0.9919999837875366,533.936,104.524,0.9850000143051147,560.783,190.594,0.9990000128746033
26,,,,,,,821.642,607.419,1.0,842.873,634.832,0.9980000257492065,856.653,670.425,0.9990000128746033,489.337,304.332,0.9900000095367432,551.952,419.682,0.9959999918937683,606.494,554.329,0.9909999966621399,493.964,41.892,0.9929999709129333,533.936,104.524,0.9850000143051147,560.827,190.51,0.9980000257492065
27,,,,,,,821.494,607.413,1.0,842.873,635.027,0.9980000257492065,856.653,672.425,0.9990000128746033,489.462,304.326,0.9909999966621399,550.947,419.682,0.9950000047683716,605.901,553.994,0.9900000095367432,493.983,41.898,0.9919999837875366,533.936,104.384,0.9850000143051147,560.834,190.424,0.9980000257492065
28,,,,,,,821.415,607.375,1.0,842.873,635.027,0.9980000257492065,856.653,672.548,0.9990000128746033,489.462,304.326,0.9909999966621399,550.947,419.682,0.9950000047683716,605.901,553.994,0.9919999837875366,493.983,41.916,0.9919999837875366,534.955,103.853,0.9879999756813049,560.834,190.331,0.996999979019165
29,,,,,,,821.219,607.288,1.0,842.873,635.027,0.9980000257492065,857.45,672.548,0.9990000128746033,489.462,304.326,0.9909999966621399,550.947,422.183,0.9929999709129333,605.766,553.982,0.9929999709129333,493.903,41.935,0.9919999837875366,535.204,103.782,0.9879999756813049,560.834,190.331,0.9980000257492065
