scorer,DLC_dlcrnetms5_make_tea_01052022Jan5shuffle1_40000,DLC_dlcrnetms5_make_tea_01052022Jan5shuffle1_40000,DLC_dlcrnetms5_make_tea_01052022Jan5shuffle1_40000,DLC_dlcrnetms5_make_tea_01052022Jan5shuffle1_40000,DLC_dlcrnetms5_make_tea_01052022Jan5shuffle1_40000,DLC_dlcrnetms5_make_tea_01052022Jan5shuffle1_40000,DLC_dlcrnetms5_make_tea_01052022Jan5shuffle1_40000,DLC_dlcrnetms5_make_tea_01052022Jan5shuffle1_40000,DLC_dlcrnetms5_make_tea_01052022Jan5shuffle1_40000,DLC_dlcrnetms5_make_tea_01052022Jan5shuffle1_40000,DLC_dlcrnetms5_make_tea_01052022Jan5shuffle1_40000,DLC_dlcrnetms5_make_tea_01052022Jan5shuffle1_40000,DLC_dlcrnetms5_make_tea_01052022Jan5shuffle1_40000,DLC_dlcrnetms5_make_tea_01052022Jan5shuffle1_40000,DLC_dlcrnetms5_make_tea_01052022Jan5shuffle1_40000,DLC_dlcrnetms5_make_tea_01052022Jan5shuffle1_40000,DLC_dlcrnetms5_make_tea_01052022Jan5shuffle1_40000,DLC_dlcrnetms5_make_tea_01052022Jan5shuffle1_40000,DLC_dlcrnetms5_make_tea_01052022Jan5shuffle1_40000,DLC_dlcrnetms5_make_tea_01052022Jan5shuffle1_40000,DLC_dlcrnetms5_make_tea_01052022Jan5shuffle1_40000,DLC_dlcrnetms5_make_tea_01052022Jan5shuffle1_40000,DLC_dlcrnetms5_make_tea_01052022Jan5shuffle1_40000,DLC_dlcrnetms5_make_tea_01052022Jan5shuffle1_40000,DLC_dlcrnetms5_make_tea_01052022Jan5shuffle1_40000,DLC_dlcrnetms5_make_tea_01052022Jan5shuffle1_40000,DLC_dlcrnetms5_make_tea_01052022Jan5shuffle1_40000,DLC_dlcrnetms5_make_tea_01052022Jan5shuffle1_40000,DLC_dlcrnetms5_make_tea_01052022Jan5shuffle1_40000,DLC_dlcrnetms5_make_tea_01052022Jan5shuffle1_40000,DLC_dlcrnetms5_make_tea_01052022Jan5shuffle1_40000,DLC_dlcrnetms5_make_tea_01052022Jan5shuffle1_40000,DLC_dlcrnetms5_make_tea_01052022Jan5shuffle1_40000
individuals,ind1,ind1,ind1,ind1,ind1,ind1,single,single,single,single,single,single,single,single,single,single,single,single,single,single,single,single,single,single,single,single,single,single,single,single,single,single,single
bodyparts,head,head,head,tail,tail,tail,cup_h,cup_h,cup_h,cup_m,cup_m,cup_m,cup_t,cup_t,cup_t,pitcher_h,pitcher_h,pitcher_h,pitcher_m,pitcher_m,pitcher_m,pitcher_t,pitcher_t,pitcher_t,tap_h,tap_h,tap_h,tap_m,tap_m,tap_m,tap_t,tap_t,tap_t
coords,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood
34,704.319,346.434,1.0,694.088,394.081,0.9990000128746033,641.193,603.839,1.0,663.853,636.779,1.0,678.473,670.244,1.0,290.147,299.778,0.9869999885559082,364.31,422.15,0.9940000176429749,434.57,554.215,0.9959999918937683,261.424,38.345,0.9959999918937683,301.268,98.151,0.9800000190734863,340.63,192.682,0.9990000128746033
35,701.374,346.281,1.0,694.066,393.986,0.9990000128746033,641.519,603.785,1.0,663.608,636.852,1.0,677.413,670.244,1.0,290.44,299.788,0.9879999756813049,364.403,422.332,0.9919999837875366,434.95,554.215,0.9909999966621399,261.291,38.289,0.9959999918937683,301.268,98.17,0.9789999723434448,340.589,192.389,0.9990000128746033
36,701.312,345.691,1.0,694.04,393.953,0.9990000128746033,642.207,603.785,1.0,663.557,636.877,1.0,677.413,670.277,1.0,290.629,299.768,0.9869999885559082,364.403,422.15,0.9909999966621399,435.493,554.215,0.9929999709129333,261.216,38.289,0.9950000047683716,301.26,98.3,0.9789999723434448,340.565,192.389,0.9990000128746033
37,701.374,345.691,1.0,694.04,393.953,0.9990000128746033,643.05,603.785,1.0,663.608,636.932,1.0,677.413,670.452,1.0,291.231,299.768,0.9890000224113464,364.31,422.15,0.9890000224113464,435.493,554.215,0.9950000047683716,261.216,38.441,0.9959999918937683,301.26,98.3,0.9800000190734863,340.482,192.389,0.9990000128746033
38,703.736,,,,,,643.208,603.854,1.0,664.281,636.934,1.0,677.482,670.452,1.0,291.231,299.618,0.9890000224113464,363.717,422.382,0.9929999709129333,436.508,554.215,0.9940000176429749,261.291,38.367,0.9959999918937683,301.268,98.486,0.9789999723434448,340.482,192.395,0.9990000128746033
39,703.942,346.075,1.0,691.06,392.826,0.9990000128746033,643.208,603.869,1.0,664.281,636.934,1.0,677.505,670.452,1.0,291.231,299.589,0.9890000224113464,363.717,422.382,0.9940000176429749,436.627,554.142,0.9909999966621399,261.291,38.367,0.9959999918937683,301.474,99.024,0.9819999933242798,340.482,192.425,0.9990000128746033
40,703.839,346.075,1.0,691.06,392.691,0.9990000128746033,643.249,603.869,1.0,664.374,636.934,1.0,677.799,670.452,1.0,291.202,299.589,0.9879999756813049,362.71,422.12,0.9929999709129333,436.508,554.289,0.9909999966621399,261.188,38.367,0.9959999918937683,301.497,99.112,0.9829999804496765,340.499,192.518,0.9990000128746033
41,703.736,345.667,1.0,690.983,392.672,0.9990000128746033,643.249,603.886,1.0,664.374,636.934,1.0,677.799,670.293,1.0,290.918,299.589,0.9890000224113464,362.71,422.12,0.9860000014305115,436.508,554.289,0.9929999709129333,261.307,38.367,0.9959999918937683,301.674,99.112,0.9819999933242798,340.567,192.524,0.9990000128746033
42,703.54,346.311,0.9990000128746033,691.864,392.691,0.9990000128746033,643.182,603.961,1.0,664.281,637.037,1.0,677.799,670.276,1.0,290.918,299.749,0.9869999885559082,362.896,422.12,0.9929999709129333,435.309,554.445,0.9929999709129333,261.372,38.277,0.9959999918937683,301.674,99.024,0.9819999933242798,340.608,192.563,0.9990000128746033
43,,346.805,,693.718,394.002,,643.089,603.961,1.0,664.177,637.175,1.0,677.771,670.104,0.9990000128746033,291.202,299.777,0.9879999756813049,363.007,421.973,0.9950000047683716,435.309,554.445,0.9940000176429749,261.225,38.17,0.9950000047683716,301.674,99.018,0.9819999933242798,340.693,192.722,0.9990000128746033
44,701.073,346.878,1.0,693.759,394.019,0.9990000128746033,643.153,604.03,1.0,663.981,637.229,1.0,676.807,670.083,0.9990000128746033,291.545,299.857,0.9879999756813049,362.953,421.973,0.9929999709129333,435.309,554.501,0.9919999837875366,261.225,38.17,0.9959999918937683,301.481,98.859,0.9800000190734863,340.717,192.754,0.9990000128746033
45,700.675,346.878,1.0,693.718,394.002,0.9990000128746033,643.089,604.03,1.0,663.956,637.229,1.0,676.086,669.746,0.9990000128746033,291.892,299.881,0.9879999756813049,363.007,421.928,0.9929999709129333,436.024,554.501,0.9940000176429749,261.271,38.17,0.9950000047683716,301.481,98.859,0.9800000190734863,340.717,192.754,0.9990000128746033
