scorer,DLC_dlcrnetms5_make_tea_pitcherJan29shuffle1_110000,DLC_dlcrnetms5_make_tea_pitcherJan29shuffle1_110000,DLC_dlcrnetms5_make_tea_pitcherJan29shuffle1_110000,DLC_dlcrnetms5_make_tea_pitcherJan29shuffle1_110000,DLC_dlcrnetms5_make_tea_pitcherJan29shuffle1_110000,DLC_dlcrnetms5_make_tea_pitcherJan29shuffle1_110000,DLC_dlcrnetms5_make_tea_pitcherJan29shuffle1_110000,DLC_dlcrnetms5_make_tea_pitcherJan29shuffle1_110000,DLC_dlcrnetms5_make_tea_pitcherJan29shuffle1_110000,DLC_dlcrnetms5_make_tea_pitcherJan29shuffle1_110000,DLC_dlcrnetms5_make_tea_pitcherJan29shuffle1_110000,DLC_dlcrnetms5_make_tea_pitcherJan29shuffle1_110000,DLC_dlcrnetms5_make_tea_pitcherJan29shuffle1_110000,DLC_dlcrnetms5_make_tea_pitcherJan29shuffle1_110000,DLC_dlcrnetms5_make_tea_pitcherJan29shuffle1_110000
individuals,pitcher,pitcher,pitcher,pitcher,pitcher,pitcher,pitcher,pitcher,pitcher,pitcher,pitcher,pitcher,pitcher,pitcher,pitcher
bodyparts,bodypart1,bodypart1,bodypart1,bodypart2,bodypart2,bodypart2,bodypart3,bodypart3,bodypart3,bodypart4,bodypart4,bodypart4,bodypart5,bodypart5,bodypart5
coords,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood
65,577.556,173.746,1.0,595.334,229.254,0.9990000128746033,625.433,300.85,0.9990000128746033,638.363,358.231,0.9890000224113464,651.106,423.419,0.996999979019165
66,579.986,173.52,1.0,604.898,226.534,1.0,628.246,291.199,0.7129999995231628,637.566,360.539,1.0,659.148,421.908,0.9990000128746033
67,582.759,173.065,1.0,607.634,226.305,0.9990000128746033,628.908,291.357,0.5210000276565552,638.512,357.35,1.0,659.071,421.569,0.9919999837875366
68,581.504,172.21,1.0,608.483,226.749,1.0,626.703,300.34,0.9990000128746033,639.168,358.354,1.0,651.707,422.641,0.8849999904632568
69,587.64,172.618,1.0,610.026,226.664,1.0,628.556,300.35,0.49900001287460327,636.041,360.595,0.7639999985694885,659.986,420.713,0.5709999799728394
70,588.35,171.954,1.0,609.382,227.436,1.0,625.507,299.951,0.9980000257492065,637.966,361.696,0.9879999756813049,651.719,422.981,1.0
71,582.161,170.137,1.0,612.105,223.073,1.0,627.879,300.803,0.7730000019073486,637.764,361.018,0.9950000047683716,651.68,422.784,0.9810000061988831
72,582.172,170.238,1.0,611.115,225.744,1.0,628.148,300.364,0.6690000295639038,637.613,361.331,0.9860000014305115,650.812,422.842,0.9819999933242798
73,581.097,169.949,1.0,611.795,225.99,0.9990000128746033,629.072,300.76,0.23800000548362732,636.624,360.931,0.9160000085830688,650.91,422.353,0.968999981880188
74,581.804,169.869,1.0,611.343,225.057,0.9990000128746033,620.394,308.445,0.11100000143051147,636.726,361.841,0.9760000109672546,651.131,422.315,0.9729999899864197
