scorer,tap3d,tap3d,tap3d,tap3d,tap3d,tap3d,tap3d,tap3d,tap3d,tap3d,tap3d,tap3d,pitcher3d,pitcher3d,pitcher3d,pitcher3d,pitcher3d,pitcher3d,pitcher3d,pitcher3d,pitcher3d,pitcher3d,pitcher3d,pitcher3d,cup3d,cup3d,cup3d,cup3d,cup3d,cup3d,cup3d,cup3d,cup3d,cup3d,cup3d,cup3d,cup3d,cup3d,cup3d,cup3d,cup3d,cup3d,cup3d,cup3d,cup3d,cup3d,cup3d,cup3d,teabag3d,teabag3d,teabag3d,teabag3d,teabag3d,teabag3d,teabag3d,teabag3d,teabag3d,teabag3d,teabag3d,teabag3d,teabag3d,teabag3d,teabag3d,teabag3d,teabag3d,teabag3d,teabag3d,teabag3d,teabag3d,teabag3d,teabag3d,teabag3d,teabag3d,teabag3d,teabag3d,teabag3d,teabag3d,teabag3d
individuals,tap,tap,tap,tap,tap,tap,tap,tap,tap,tap,tap,tap,pitcher,pitcher,pitcher,pitcher,pitcher,pitcher,pitcher,pitcher,pitcher,pitcher,pitcher,pitcher,cup,cup,cup,cup,cup,cup,cup,cup,cup,cup,cup,cup,cup,cup,cup,cup,cup,cup,cup,cup,cup,cup,cup,cup,teabag1,teabag1,teabag1,teabag1,teabag1,teabag1,teabag1,teabag1,teabag1,teabag1,teabag1,teabag1,teabag1,teabag1,teabag1,teabag2,teabag2,teabag2,teabag2,teabag2,teabag2,teabag2,teabag2,teabag2,teabag2,teabag2,teabag2,teabag2,teabag2,teabag2
bodyparts,bodypart1,bodypart1,bodypart1,bodypart2,bodypart2,bodypart2,bodypart3,bodypart3,bodypart3,bodypart4,bodypart4,bodypart4,tip,tip,tip,top_handle_inner,top_handle_inner,top_handle_inner,top_handle_outer,top_handle_outer,top_handle_outer,bottom_handle_outer,bottom_handle_outer,bottom_handle_outer,bodypart1,bodypart1,bodypart1,bodypart2,bodypart2,bodypart2,bodypart3,bodypart3,bodypart3,bodypart4,bodypart4,bodypart4,bodypart5,bodypart5,bodypart5,bodypart6,bodypart6,bodypart6,bodypart7,bodypart7,bodypart7,bodypart8,bodypart8,bodypart8,top_left,top_left,top_left,bottom_left,bottom_left,bottom_left,bottom_right,bottom_right,bottom_right,top_right,top_right,top_right,center,center,center,top_left,top_left,top_left,bottom_left,bottom_left,bottom_left,bottom_right,bottom_right,bottom_right,top_right,top_right,top_right,center,center,center
coords,x,y,z,x,y,z,x,y,z,x,y,z,x,y,z,x,y,z,x,y,z,x,y,z,x,y,z,x,y,z,x,y,z,x,y,z,x,y,z,x,y,z,x,y,z,x,y,z,x,y,z,x,y,z,x,y,z,x,y,z,x,y,z,x,y,z,x,y,z,x,y,z,x,y,z,x,y,z
7,,,,303.3180780504514,-101.3443051193365,497.0577190895139,295.87956029593164,-113.53915147006333,511.4632222150577,294.59304090004497,-131.29534671640155,533.0406213108288,91.39850743475786,30.41821713049555,649.8973539351883,-4.607375195225998,89.04512967196129,603.8124534625204,-30.847029213463507,117.85721543209873,601.418431159212,-16.620707673013513,162.8880310133147,644.1373990806159,150.27089532325948,-43.27160396734017,854.1323024218278,152.28208227737719,-2.4512084787990345,810.6214310258642,90.38083609958825,3.818603126478569,776.9607171884019,87.13171991430568,-34.412311567132946,822.9063684515033,120.32590942886122,-47.403627823085955,880.4330303543621,121.19044265319842,-62.37137550436805,870.2539102529381,,,,,,,-167.01113492735797,-96.96749192913732,944.8909351002384,,,,-119.1513707021742,-42.87429542141922,943.1756103380006,-125.21845064043927,-98.98195609357536,950.4204029638315,-144.03772842979367,-69.50667420234805,948.7654419982741,-198.83958526724388,-21.281459654172338,909.7249084009102,,,,-141.31288968382776,-32.3893842293577,926.0904176998129,-211.5521591812056,-58.815434664275216,971.7648881938593,-179.45344315485178,-31.75332004798498,953.3680422853885
8,,,,303.2758308264812,-101.35317044715595,496.9431288486662,295.8054368270232,-113.55581825716249,511.37799974375497,294.59111796235476,-131.33187400286266,533.0372783459088,91.41068344046316,30.367791571787293,649.6225899304532,-4.942720450735455,89.07356436332627,604.3683675750154,-31.787465357230634,118.64300813688752,604.6519479297693,-16.620000521418746,162.70410561379327,644.1382502966452,150.2314220941692,-43.271820081495775,853.0144010202159,152.28202473860821,-2.4318042365099233,810.620846767254,91.15152190343433,4.487136644204069,782.4016615911592,87.11648536332774,-34.51744448279439,822.7653517118054,120.10857289784644,-47.31800586454241,878.84276387293,121.19138162291277,-62.463893692168995,870.8583774447342,,,,,,,-167.01093587796578,-96.93843477626213,944.8897108693925,,,,-119.20602006829255,-42.81556041006548,943.607162443112,-125.27601003531582,-99.08688023583295,950.5695444415159,-144.03732145444474,-69.46823966934703,948.7632006509207,-198.60530322282935,-21.187442810583295,909.0542207021122,,,,-141.83444389258207,-32.46193445047914,927.9410463689247,-211.24697918347863,-58.54020130416522,970.8653043020679,-180.1331604028367,-31.281112120492722,955.3810645281159
9,,,,303.2645046906735,-101.34611903995187,496.9123508339299,295.9803971542623,-113.72915691850352,511.888272870451,294.46324281383465,-131.29078225561813,532.6464148761289,91.43439059231181,30.342691206536323,649.0829644736393,-4.93615393409697,88.95502569781233,603.5655417049484,-31.764183968683756,118.58082501544551,603.9911952935172,-16.96933337685252,163.41635125084946,646.5345476785126,150.08756983854045,-43.157711685905845,851.6897078429654,152.36291907473483,-2.4385130879912786,812.6544451474723,91.38441677722403,4.422527810087237,776.078157776154,87.23159945463873,-34.47448620314508,819.8864895878254,119.94893005082265,-47.314107231692724,879.2045080787369,120.84148795611274,-62.64145980709221,873.3265896770918,,,,,,,-167.0095375130138,-96.7934015085397,944.882268700657,,,,-118.71568122844877,-42.74234191020235,941.9990696827745,-125.27599352114072,-99.08212395086066,950.5693810495101,-144.27902946595256,-69.50414892316691,949.63212355721,-198.53939407500624,-21.341735934468122,908.8689060741012,,,,-150.7003408398648,-35.38070458511624,959.4338811024746,-211.0340174737585,-58.51120943006803,969.8871757675888,-180.86319235304833,-31.401714410947772,957.5239795880726
10,,,,303.2645046906735,-101.34611903995187,496.9123508339299,295.6025924499461,-113.67489202845861,511.23496006482185,294.1320681875412,-131.14847255434654,531.897522480701,91.3961771237436,30.322606022471913,648.7274686790823,-4.93615393409697,88.95502569781233,603.5655417049484,-31.764183968683756,118.58082501544551,603.9911952935172,-17.948727543018936,164.30261836981853,650.4127993939037,149.80177343476055,-42.15305781648636,843.6218023919806,152.37262621635765,-2.4335410319479673,811.1031283394318,91.38442982565432,4.4114390126768335,776.078617155291,87.02354847677134,-34.152664277504634,817.93699853545,119.94877475348854,-47.17144571299807,878.2511578214783,120.84121846402306,-62.52300265738192,873.3218489570035,,,,,,,-167.27184988659957,-96.80444019049101,946.6192750088522,,,,-118.71486301872756,-42.561280445519344,941.9920234425936,-125.27005900876928,-99.20575435958875,951.2351509254232,-144.03725701456057,-69.51553641398017,948.763928463598,-197.71937745309427,-21.513646006899126,906.442443603356,,,,-151.45492251704167,-35.530813712875464,963.3053557536504,-210.9419650999308,-58.42999216783555,969.4646096687773,-180.64625780474924,-31.149595054161143,956.3779626445624
11,,,,303.04923949007804,-101.27667048140613,496.5718289338568,295.42331082928854,-113.57880304828844,510.7174301938467,293.8860262570465,-131.0610313138228,531.2802451549268,91.2754394093918,30.227096370577083,647.504974820074,-4.9429421862095495,89.12132495833163,604.3683403289799,-31.74948217978506,118.64744346787417,603.9309271706937,-17.975012368445935,164.47120587539501,651.3547005030498,149.74328143961458,-42.214963301558996,841.9567398187368,152.45060772754235,-2.3730330757162177,811.5173393552241,91.30161284481252,4.050299553067711,775.3727064734685,87.03025656271807,-36.41253344585814,817.9244749917124,119.94876255595734,-47.18380039288601,878.4806905631152,120.84536515543688,-62.83376380212222,877.5993976279478,,,,,,,-165.2745466282677,-95.9746396567725,939.6141362848836,,,,-118.6304695455965,-42.2962229720802,941.3254675014023,-124.87810081687807,-99.09022026356733,949.2513216191512,-143.72578214536605,-69.65271872900617,947.473652657806,-196.79182952219085,-21.710416741758557,903.3378597869212,,,,-151.49830041970716,-35.54614253522014,963.5813328465413,-211.94910665463308,-58.60760416668258,972.4181089030942,-179.34521279916913,-31.023806069196983,951.2059102821113
12,,,,302.2775399982789,-101.17032673615343,495.3711008881349,294.93478735964203,-113.14846752547427,509.402547702995,293.84805844165237,-131.07363093462607,531.212026528905,91.04506329950185,29.894634066836602,645.2986331380453,-4.907310032474612,89.6036674793946,606.5162165569384,-31.166189378116393,118.7317464066701,602.4226995341905,-18.161509641997302,165.1492272530104,653.9120343595234,149.95694688843216,-43.458999716837035,841.5830436381743,154.23433272466852,-3.2844905870080283,821.3242084160086,90.82210452911023,3.9355042715411535,775.5716687570792,86.92893085670327,-36.52203437953341,818.0096106192144,120.13911369217435,-47.1705479854596,880.9731961349115,120.98375565349882,-62.86259248223025,878.6014779580485,,,,,,,-165.27510197237302,-96.05288404027587,939.6174975711606,,,,-119.90197681843091,-42.33065025098783,945.2703488451043,-124.3383603986545,-98.75208511965188,946.9325937352197,-143.660615359963,-69.9432900817357,947.2455150622396,-195.52283538809507,-21.892931769802146,898.5701383046446,,,,-151.65212099652493,-34.89922085913119,964.1143866216318,-212.0073228141754,-58.987785879568825,972.5957815067378,-179.15687806175416,-31.002815035224835,950.6067686044872
13,,,,302.2845180667556,-101.16841451893782,495.39006894130614,294.4809776762017,-112.87804521720591,508.40735696267956,293.2900414822509,-130.92154589583572,530.2031921939804,90.86190018749201,29.82872542958732,643.4766607550092,-4.776100314226091,89.68099711689679,606.4873331451925,-31.165462572082387,118.85216706094175,602.4172304798868,-18.126268012013824,164.9273234973405,652.627419005742,149.86996699608568,-43.467346081497965,839.1299535693481,154.8105028589881,-3.2941717978963956,823.7753929448651,90.82229549468278,3.7681694332063347,775.5786615525321,86.83324620182255,-36.49183949416039,820.3704247088385,120.15458964456289,-47.32812365694127,881.0907689931457,121.08844299886445,-62.978087485936,879.3594527631129,,,,,,,-165.89300654713577,-96.26132862409526,941.6549740036121,,,,-120.08380357962822,-42.32839469554479,945.6393895027662,-123.3738436046007,-98.43733635932443,942.8364233693135,-143.56100408436737,-69.92086405829262,946.8873308156125,-190.78789647987796,-21.390223807543446,877.6620909386618,,,,-151.82360674546223,-34.89798063007738,965.2059276912446,-212.33969934739508,-59.08095976250893,974.120572888304,-178.9673917635285,-31.008847132211812,950.004488951505
14,,,,302.28431602243717,-101.20119570215985,495.3897181953212,294.26229414775304,-112.72069338686505,507.76878543731283,293.4765942466765,-131.16910475183946,530.9296264613376,90.77074431108886,29.82298550493389,643.3548462219177,-4.776100314226091,89.68099711689679,606.4873331451925,-31.229399576231838,119.2176791584128,603.6614945995182,-18.215178769671407,165.0055208796387,652.4846292444179,150.17487085532036,-43.55577848622552,840.8371265707225,155.26215415816623,-3.3383160496583333,826.1793677383988,90.82229549468278,3.7681694332063347,775.5786615525321,86.70546420649568,-36.398327081358,820.6815151888399,120.44494310047587,-47.429018723349,882.1212779779784,121.08649160149557,-62.703822593501286,878.1222564075281,,,,,,,-165.89265512277132,-96.21678817171943,941.6529443758857,,,,-120.5369397324493,-42.388594780105244,947.1150533749607,-122.88288346617455,-98.2744473342683,940.9278873241319,-143.54679658188533,-69.97733999268551,946.8374534139632,-190.78877628280736,-21.466796578836078,877.6659982854513,,,,-152.05681511867434,-34.95870504319,966.0355348513391,-212.41612179574824,-59.11717577538135,974.4710557046404,-178.97573293220768,-31.01578746971052,950.2180286872645
15,,,,302.36199698403516,-101.28076516474952,495.5094671276918,294.1084718760553,-112.67130212726556,507.5633814191409,293.476560506415,-131.17438303108906,530.9295510732177,90.7372673372378,29.886341571007968,643.114423779903,-4.776369870410042,89.6124185608048,606.4902408636498,-31.164751988195984,118.97088813750477,602.4118625182199,-18.35021109997843,165.2111244636483,653.1220974260042,150.6257561957749,-43.986535670462786,844.9733339303948,155.39820474815255,-3.4843776110842923,825.4697158117625,91.00129451429966,3.8665474639022572,773.2045881554053,86.8237731860215,-36.325696271343304,820.274686311213,120.44502816439697,-47.46683198858632,882.1214490235081,121.08893699533489,-62.74808417870468,880.2930449226211,,,,,,,-165.81546590620508,-96.14282679164226,940.9287915347098,,,,-120.0818743165697,-42.10330876712687,945.6270479011699,-122.8826651989183,-98.24643375563556,940.9264569535067,-143.52376310459098,-69.88158298049173,946.7527923399028,-195.02675224719417,-22.18780983405229,897.1618443913186,,,,-141.82157929414313,-32.18586553408889,930.1518331431926,-212.38344019134553,-58.84011753746551,974.3700499864462,-179.27699558382284,-31.04689156483431,951.6478067101698
16,,,,302.27247183553817,-101.27346283829982,495.26596859341373,294.04465867400785,-112.59276462036335,507.4533247993833,293.6324897537324,-131.29372334113862,531.2535686978811,90.74889249949375,29.87450794805885,642.8584865013497,-4.774743887085389,89.63133743832759,606.304082549335,-31.329593128619983,118.34751652453471,601.2436549172492,-18.20182144782839,164.92736218635568,651.999317246883,150.70467368721543,-44.005053882547685,845.4161179101344,155.26882769745015,-3.182885854488848,826.3422466887879,91.10909008991003,4.085114404700239,770.3092906480072,86.75015662957321,-36.337578167922025,819.5775607861393,120.4433494440608,-47.28898681704799,878.8233965767374,120.62747672815098,-62.330635708193284,876.9409051236811,,,,,,,-166.26560289512648,-96.38311005669242,942.4140668566222,,,,-120.00403615608872,-42.316923711833994,945.0175418043054,-123.37236120692829,-98.4448885201091,942.8256549677199,-143.6943006293655,-69.96461753818751,947.8777410890034,-197.58354131222544,-22.41199676093024,906.0934267050903,,,,-141.88590334255477,-32.2004636310956,930.5737092203377,-211.497826845188,-58.37600121462276,971.7876162540914,-179.3039097001695,-31.017102956469618,951.7328520185276
