scorer,pitcher3d,pitcher3d,pitcher3d,pitcher3d,pitcher3d,pitcher3d,pitcher3d,pitcher3d,pitcher3d,pitcher3d,pitcher3d,pitcher3d,tap3d,tap3d,tap3d,tap3d,tap3d,tap3d,tap3d,tap3d,tap3d,tap3d,tap3d,tap3d,cup3d,cup3d,cup3d,cup3d,cup3d,cup3d,cup3d,cup3d,cup3d,cup3d,cup3d,cup3d,cup3d,cup3d,cup3d,cup3d,cup3d,cup3d,cup3d,cup3d,cup3d,cup3d,cup3d,cup3d,teabag3d,teabag3d,teabag3d,teabag3d,teabag3d,teabag3d,teabag3d,teabag3d,teabag3d,teabag3d,teabag3d,teabag3d,teabag3d,teabag3d,teabag3d,teabag3d,teabag3d,teabag3d,teabag3d,teabag3d,teabag3d,teabag3d,teabag3d,teabag3d,teabag3d,teabag3d,teabag3d,teabag3d,teabag3d,teabag3d
individuals,pitcher,pitcher,pitcher,pitcher,pitcher,pitcher,pitcher,pitcher,pitcher,pitcher,pitcher,pitcher,tap,tap,tap,tap,tap,tap,tap,tap,tap,tap,tap,tap,cup,cup,cup,cup,cup,cup,cup,cup,cup,cup,cup,cup,cup,cup,cup,cup,cup,cup,cup,cup,cup,cup,cup,cup,teabag1,teabag1,teabag1,teabag1,teabag1,teabag1,teabag1,teabag1,teabag1,teabag1,teabag1,teabag1,teabag1,teabag1,teabag1,teabag2,teabag2,teabag2,teabag2,teabag2,teabag2,teabag2,teabag2,teabag2,teabag2,teabag2,teabag2,teabag2,teabag2,teabag2
bodyparts,tip,tip,tip,top_handle_inner,top_handle_inner,top_handle_inner,top_handle_outer,top_handle_outer,top_handle_outer,bottom_handle_outer,bottom_handle_outer,bottom_handle_outer,bodypart1,bodypart1,bodypart1,bodypart2,bodypart2,bodypart2,bodypart3,bodypart3,bodypart3,bodypart4,bodypart4,bodypart4,bodypart1,bodypart1,bodypart1,bodypart2,bodypart2,bodypart2,bodypart3,bodypart3,bodypart3,bodypart4,bodypart4,bodypart4,bodypart5,bodypart5,bodypart5,bodypart6,bodypart6,bodypart6,bodypart7,bodypart7,bodypart7,bodypart8,bodypart8,bodypart8,top_left,top_left,top_left,bottom_left,bottom_left,bottom_left,bottom_right,bottom_right,bottom_right,top_right,top_right,top_right,center,center,center,top_left,top_left,top_left,bottom_left,bottom_left,bottom_left,bottom_right,bottom_right,bottom_right,top_right,top_right,top_right,center,center,center
coords,x,y,z,x,y,z,x,y,z,x,y,z,x,y,z,x,y,z,x,y,z,x,y,z,x,y,z,x,y,z,x,y,z,x,y,z,x,y,z,x,y,z,x,y,z,x,y,z,x,y,z,x,y,z,x,y,z,x,y,z,x,y,z,x,y,z,x,y,z,x,y,z,x,y,z,x,y,z
7,-188.84128817044393,94.5884749917373,613.484676736879,-313.1891676141223,129.56700591079021,597.4759260842358,,,,,,,,,,304.80998909202816,-101.9991572989003,499.3669082713978,296.78497333668827,-114.05095309190989,513.3467516628847,297.9461495417688,-132.85670036271142,539.3766175702661,-162.86698589351744,-103.95450003330973,891.43329927254,-184.1723755314792,-75.56501287399652,939.1976828942835,-245.7553515962964,-70.58994036870357,913.6899552417956,-236.41134213327223,-108.79437819490434,924.0910729760946,-198.7729401114469,-109.54489060931795,914.5337867746911,-202.58399467517143,-130.6435906437582,949.7932034756936,,,,,,,39.34765746145612,118.37223771321894,774.3246277334406,74.3335764984397,143.8153968139014,802.4058197205675,70.82175033414256,109.98983996194731,828.78960955697,36.697090553429156,82.98292159890705,795.485022431888,56.989875789769734,109.38291121897863,782.7014208241949,72.11278661519255,44.07237207641017,820.1570944689139,74.7392243186831,99.7101500067354,837.4531735347615,120.28151283126557,96.85575410461823,832.551489956648,118.73480576851208,45.80346857140877,823.0538464611117,95.90141695415338,72.01301824226884,819.7849890864164
8,-187.550219609019,93.94342584560556,610.9199112907816,-313.3228218010207,129.5655520162746,597.661222687908,,,,,,,,,,304.8354562811221,-102.00483195405133,499.4086339887468,296.7236193236618,-114.00936830227046,513.2324951611852,297.7634982405913,-132.81971413222223,539.1804393971875,-162.898432992823,-103.95792992397051,891.4625855684455,-184.15562782977682,-75.59433505248471,939.1465542852183,-244.8776588074004,-70.54180022723095,910.0050810817827,-236.4914011564483,-108.74447631599945,924.2958424757504,-198.6107879065761,-109.49397871315452,914.109061167875,-202.79009180566675,-131.13646956208316,950.7596006521219,,,,,,,39.450802175058996,118.79498291755552,776.3463704685041,74.28774316534515,143.90702054303821,803.2150180063699,70.71337199167169,109.73154249671387,827.043456784612,36.71531236427096,83.0441900405938,795.8814765764956,57.04554254086429,109.28631897474084,782.0089796728552,72.069171494532,44.11536495273416,819.6650934684319,74.81382157882192,99.57309528709088,837.8699378637696,120.36870247431494,96.99688374946541,833.1572072215638,118.7561484512735,46.695880497375214,817.244051335777,95.89248444179144,72.04405116619967,820.088901207835
9,-187.89796058679383,93.96601387756294,612.0515421491017,-312.91458121667876,129.33675773919052,596.9516083434237,,,,,,,,,,305.4977516363843,-102.21681978714889,500.49367544592553,296.71003527142057,-113.92090657455685,513.2021576297155,297.5615069265065,-132.64308577781637,538.680295616442,-162.65005127493822,-103.72766509078826,890.1030575575131,-184.49988058207558,-75.85852282242361,940.8682241523225,-244.875124891202,-70.25569425546925,909.9936681358577,-236.5604406603918,-108.63696411158904,924.5525879681281,-198.8984111779036,-106.2566205584291,915.4653587846476,-204.72061145780802,-132.18670058470323,957.8489147091568,,,,,,,39.45105799095353,118.99258969326958,776.3371611261039,74.28753485713541,143.9700559139326,803.2154273502349,70.6520014637658,109.6342287238705,826.325602726807,37.01777301223688,82.91819725653544,793.0357413811378,57.10841519616515,109.1772231364412,781.2269039639567,71.89277830955864,44.02665481470471,818.0176184988995,74.8138609061195,99.48664576401843,837.8738957235759,120.36857572453894,97.05267157288932,833.1549960756844,118.75701682679576,46.648539029103425,816.6948399569488,95.87894844086271,72.09611295711242,820.5489876156422
10,-189.2058003195964,94.55054013456339,615.3092632394316,-313.03376267167664,129.28034772792003,597.110019173875,,,,,,,,,,305.498005963972,-102.17837967687379,500.4941273738842,296.5658024856477,-113.8469866895846,512.9324442501921,297.2289780222864,-132.54640475661904,538.2884328137415,-163.34478150333052,-103.78022730130925,892.8641653251194,-184.51287835323816,-76.16747444170855,940.914284022735,-245.3332780159992,-70.21221714105288,911.1352575997473,-236.55061182030178,-108.63396422426038,924.5270732287905,-198.37103665556077,-106.04359404835772,913.0380730279794,-203.59091442597116,-131.88199481281725,954.5158697638807,,,,,,,39.4565177141693,119.01711939947424,776.283357632823,74.35400172369822,144.0976087152564,804.2791125765217,70.6520014637658,109.6342287238705,826.325602726807,37.84548800739796,81.80684596918844,786.2420427783813,57.09699789066742,109.23980733934248,781.0665328606963,71.90494297615288,44.17851212145238,817.8022360921378,76.52928061953264,95.74123442933654,806.2696153642931,120.36881331590999,97.02568701875198,833.4050942889176,118.75131334877756,46.60951795476698,816.655844914065,95.72961812646629,72.04286967678529,820.0781061101603
11,-188.75201554847683,94.4785024812952,614.4036084539815,-313.0431286298988,129.388804518955,597.1289628500136,,,,,,,,,,305.4796566067464,-102.21093440131324,500.44477856076423,296.0254160200022,-113.56774634700702,511.66861642837193,296.97499512134743,-132.46689250151164,537.9092044999738,-163.38017875012835,-104.26325629542704,893.0547963832934,-184.50525868385077,-76.43872994306145,940.8959443686942,-245.52673392843087,-70.20990360283008,912.416799693216,-236.61208938485058,-108.67491874406967,924.8757480627286,-198.67253639753707,-109.8195349660125,914.3981461247107,-202.97593289464507,-131.70105652536247,952.2253183568463,,,,,,,39.121169060409734,118.42666678233105,769.7151779070014,74.58994796755745,144.3525069931972,805.6958058373638,70.63720884184188,109.66707770302234,826.5736338193468,37.84660370173634,81.95361360695816,786.2750061959501,57.09693842979707,109.36194380544738,781.0623472121375,71.85705593378293,44.11621395332753,816.1119669425527,76.58008800010501,95.61966802909642,805.3264995515316,120.36888948140447,96.9916547483317,833.4048125421368,118.75284094718981,46.44295144183883,815.8303893851994,95.72970878891228,72.00796958076256,820.078120668565
12,-188.2620436070988,94.68931365310584,612.808035360484,-312.9589053012148,129.50346494896985,597.0028605185475,,,,,,,,,,304.4745086090292,-101.85577771756206,498.7981281398879,295.355432984791,-112.96683836285028,510.02530123479124,296.90941355759463,-132.4920081166002,537.7098907774835,-163.68737252283472,-104.45929612880308,894.7339527773405,-182.4064337127412,-75.73751997098321,931.2405848481046,-246.37331629364988,-70.32354607725071,915.3567478415263,-236.6014528096428,-109.2845949184219,925.1346896334034,-196.04893880263904,-109.14405489558284,906.8656844164644,-199.01258795948135,-130.01420509059244,940.526119861146,,,,,,,39.10111802736283,118.41800484124181,769.3169825707326,74.63974823788912,144.49152230560156,806.2349257860824,70.76561797645394,110.02768345020085,828.0697807917572,38.01758806525589,81.73912303064874,787.6548789003373,57.29374052317681,109.83230812519584,783.9492250272027,72.0163933293075,43.97133506052651,813.2983063416198,76.71822075677382,95.7689250591778,806.773354371081,120.28273616877,96.74775338529693,833.1876830678723,118.79712583463473,46.16589698522634,813.3297820565997,95.68071731705784,71.87828277275229,819.6596058228236
13,-188.26140498254966,94.7206277221642,612.8062378102003,-312.4917528434347,129.49042801860975,596.3556504436543,,,,,,,,,,304.4506376398072,-101.82761767225269,498.73336055295226,295.12798542030254,-112.90401790029235,509.6324558245828,297.0347201141389,-132.55839124528987,538.091329877937,-162.8325852126857,-103.47469484537586,892.0219379986047,-182.92671737761916,-76.05596700307728,932.8257138588158,-246.27362829058896,-70.17928797683561,916.7221584879734,-236.60205281310374,-109.34427956231626,925.1373207294449,-195.33436377143926,-108.71914183266799,904.2189686982665,-199.06041536906477,-130.18204985404358,940.7526466800185,,,,,,,39.0894761111993,118.4012672530568,769.086611117808,74.65095661771713,144.674311345027,806.3559792097765,70.82126847573674,110.11420986930614,828.7209797505507,38.07935155049085,81.90492637132536,788.9373749364896,57.28902481455554,110.23440436130487,785.4289068053708,72.07298673920785,44.04275204302816,812.4403154355408,76.74926752612667,95.91462119342987,808.2579936660883,120.2831326600809,97.02137953440622,834.8604793177027,118.75760026115711,46.04777764198882,813.0569434413015,95.58921053613999,71.67936226803268,817.5153075624228
14,-188.07105854292368,94.72238934479525,612.4931254376694,-312.1451449373293,129.36273219276944,595.6941196426227,,,,,,,,,,304.4507692149731,-101.80431790100117,498.73357457749495,295.12799805795316,-112.90057209083338,509.63247322510364,297.0347201141389,-132.55839124528987,538.091329877937,-162.24379423786726,-106.78626345455724,890.2308132398989,-183.06591572507355,-76.36447544608242,933.2600691934894,-246.79888085631637,-70.40697069467866,918.67680630182,-235.89654430363015,-109.25459067602065,923.3072341965193,-195.35742779546246,-112.36443976223141,904.3529935979141,-199.01383351998837,-130.17161958084003,940.5327494634357,,,,,,,39.073597588830374,118.09691035282155,768.7751525111328,74.7999656803683,144.9005716833787,807.6167322347862,70.96771291538116,110.28649957761883,829.715291970168,38.07909355104803,81.80193405895731,788.9433725217552,57.43908520960173,110.49806068416112,787.7135265434684,72.1158577896502,44.48778556381958,812.9250136131687,76.75751046073316,95.99156091473048,808.6654259145532,120.28350323013757,96.85711059176093,834.8633852332449,118.75781892763689,45.949674792838934,813.0598041208682,95.6344587362756,71.71329247952863,817.9022873904935
15,-188.06895103101513,94.801093093453,612.487603987875,-311.8505745522659,129.2991536894898,595.1315429523846,,,,,,,,,,304.354521883394,-101.72789944189856,498.4464849566591,295.35528897770683,-112.98241357502859,510.02496983453665,296.81107959644,-132.37714998313325,537.4102223402828,-161.7118879607316,-106.25754234584544,887.9804324492429,-187.5127447219084,-77.29885829842694,946.988148548805,-246.27314817845982,-70.12596122440533,916.7200064396416,-233.49741208878268,-108.39065448758122,917.0738166039736,-196.07342392752074,-113.01172812757746,907.0079878484455,-199.06494452631011,-130.12894753473947,940.7649814221625,,,,,,,39.03447977353247,117.60905108594059,769.1656574531198,74.84694468301176,144.93133489480167,807.6024199023678,70.86743737561844,110.0930337314577,828.4313646976105,38.11209718564183,81.72903238591017,788.3100676594397,57.447530408927406,110.30095233985823,787.6144707843639,72.019149578921,44.608814377408564,813.3280750058007,76.78111194629646,96.12578786326067,809.7973165721028,120.28288264521348,96.68241921146391,833.1873372201383,118.79625220701307,45.8804646223645,814.4621882890104,95.59706308447133,71.77550140152444,817.5776504795487
16,-188.24443810637496,94.96866335473752,613.0596950113257,-311.6854875794147,129.23194409225934,594.8221664430044,,,,,,,,,,304.4344714408358,-101.71655135367882,498.57742530749175,295.6402609948759,-113.0797614072084,510.5806752483253,296.81940550085693,-132.37046625815591,537.2502207556353,-160.6180185292899,-105.46111305881979,884.5210072324351,-189.0280270306485,-77.73484282782665,954.420311094521,-245.33260558890115,-69.84373239020663,913.2246229517302,-235.86257043647424,-109.30872515239344,923.7654326031493,-195.74596887213667,-112.85070261983255,906.1512371012202,-199.15515567820808,-130.0987501212988,941.1913040196789,,,,,,,39.17723374649212,116.80642285097449,765.3614525033203,74.9209616683168,144.69379269717933,806.2767465548194,71.01200656161888,110.16423378105391,828.9659141344989,37.96546848106796,82.11300749847258,790.283969345529,57.439034022142295,110.31592772261126,787.721598381351,71.85803309868312,44.764933154992455,813.5275129026921,76.7811409465468,96.0885928588097,809.7988045599998,120.22833065004347,96.83214881204998,834.4809262935332,118.8522960045693,45.88985457634559,814.8461180093839,95.58533120945602,71.82124167749699,816.9026976731252
