scorer,DLC_resnet50_make_tea_multiNov11shuffle1_50000,DLC_resnet50_make_tea_multiNov11shuffle1_50000,DLC_resnet50_make_tea_multiNov11shuffle1_50000,DLC_resnet50_make_tea_multiNov11shuffle1_50000,DLC_resnet50_make_tea_multiNov11shuffle1_50000,DLC_resnet50_make_tea_multiNov11shuffle1_50000,DLC_resnet50_make_tea_multiNov11shuffle1_50000,DLC_resnet50_make_tea_multiNov11shuffle1_50000,DLC_resnet50_make_tea_multiNov11shuffle1_50000,DLC_resnet50_make_tea_multiNov11shuffle1_50000,DLC_resnet50_make_tea_multiNov11shuffle1_50000,DLC_resnet50_make_tea_multiNov11shuffle1_50000,DLC_resnet50_make_tea_multiNov11shuffle1_50000,DLC_resnet50_make_tea_multiNov11shuffle1_50000,DLC_resnet50_make_tea_multiNov11shuffle1_50000,DLC_resnet50_make_tea_multiNov11shuffle1_50000,DLC_resnet50_make_tea_multiNov11shuffle1_50000,DLC_resnet50_make_tea_multiNov11shuffle1_50000,DLC_resnet50_make_tea_multiNov11shuffle1_50000,DLC_resnet50_make_tea_multiNov11shuffle1_50000,DLC_resnet50_make_tea_multiNov11shuffle1_50000,DLC_resnet50_make_tea_multiNov11shuffle1_50000,DLC_resnet50_make_tea_multiNov11shuffle1_50000,DLC_resnet50_make_tea_multiNov11shuffle1_50000,DLC_resnet50_make_tea_multiNov11shuffle1_50000,DLC_resnet50_make_tea_multiNov11shuffle1_50000,DLC_resnet50_make_tea_multiNov11shuffle1_50000,DLC_resnet50_make_tea_multiNov11shuffle1_50000,DLC_resnet50_make_tea_multiNov11shuffle1_50000,DLC_resnet50_make_tea_multiNov11shuffle1_50000,DLC_resnet50_make_tea_multiNov11shuffle1_50000,DLC_resnet50_make_tea_multiNov11shuffle1_50000,DLC_resnet50_make_tea_multiNov11shuffle1_50000,DLC_resnet50_make_tea_multiNov11shuffle1_50000,DLC_resnet50_make_tea_multiNov11shuffle1_50000,DLC_resnet50_make_tea_multiNov11shuffle1_50000,DLC_resnet50_make_tea_multiNov11shuffle1_50000,DLC_resnet50_make_tea_multiNov11shuffle1_50000,DLC_resnet50_make_tea_multiNov11shuffle1_50000,DLC_resnet50_make_tea_multiNov11shuffle1_50000,DLC_resnet50_make_tea_multiNov11shuffle1_50000,DLC_resnet50_make_tea_multiNov11shuffle1_50000,DLC_resnet50_make_tea_multiNov11shuffle1_50000,DLC_resnet50_make_tea_multiNov11shuffle1_50000,DLC_resnet50_make_tea_multiNov11shuffle1_50000
individuals,individual1,individual1,individual1,individual1,individual1,individual1,individual1,individual1,individual1,individual2,individual2,individual2,individual2,individual2,individual2,individual2,individual2,individual2,single,single,single,single,single,single,single,single,single,single,single,single,single,single,single,single,single,single,single,single,single,single,single,single,single,single,single
bodyparts,head,head,head,middle,middle,middle,tail,tail,tail,head,head,head,middle,middle,middle,tail,tail,tail,cup_h,cup_h,cup_h,cup_m,cup_m,cup_m,cup_t,cup_t,cup_t,pitcher_h,pitcher_h,pitcher_h,pitcher_m,pitcher_m,pitcher_m,pitcher_t,pitcher_t,pitcher_t,tap_h,tap_h,tap_h,tap_m,tap_m,tap_m,tap_t,tap_t,tap_t
coords,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood
17,1287.026,518.137,1.0,1284.072,558.373,1.0,1279.76,600.96,1.0,,,,,,,,,,1167.953,651.175,0.9990000128746033,1169.588,694.133,1.0,1167.663,734.465,1.0,299.747,422.363,0.984000027179718,371.954,545.504,0.9869999885559082,444.742,668.769,0.9750000238418579,192.202,181.291,0.9940000176429749,189.33,242.642,0.9950000047683716,161.347,332.92,0.9919999837875366
18,1287.538,517.853,1.0,1284.198,558.816,1.0,1279.608,600.929,1.0,,,,,,,,,,1168.209,651.175,0.9049999713897705,1168.333,694.556,1.0,1167.663,734.537,1.0,299.747,422.787,0.9860000014305115,372.781,545.504,0.9599999785423279,444.976,669.032,0.9750000238418579,192.202,181.291,0.9929999709129333,189.393,243.03,0.9950000047683716,161.347,332.92,0.9919999837875366
19,1288.514,517.853,1.0,1284.52,558.844,1.0,1279.393,600.929,1.0,1170.319,542.982,1.0,1178.839,589.433,1.0,1181.388,623.019,1.0,1167.953,651.175,0.9890000224113464,1168.333,694.133,1.0,1167.663,734.348,1.0,299.747,422.823,0.9909999966621399,372.781,545.504,0.9660000205039978,444.976,669.111,0.9490000009536743,192.202,181.548,0.9919999837875366,189.443,243.076,0.9950000047683716,161.273,333.46,0.9890000224113464
20,1288.514,518.075,1.0,1284.52,559.454,1.0,1279.275,601.013,1.0,1170.319,516.242,1.0,1178.839,568.494,1.0,1181.388,603.535,1.0,1167.953,650.398,1.0,1168.309,693.95,1.0,1167.241,734.297,1.0,299.747,423.019,0.9919999837875366,371.23,546.431,0.9779999852180481,445.125,669.032,0.9670000076293945,192.478,181.704,0.9950000047683716,189.497,243.29,0.9950000047683716,161.273,333.476,0.9909999966621399
21,1288.514,518.075,1.0,1284.072,559.454,1.0,1278.93,600.929,1.0,1170.319,489.501,1.0,1178.839,542.513,1.0,1181.388,578.556,1.0,1167.953,648.543,1.0,1168.309,690.839,1.0,1167.241,734.162,1.0,299.747,423.019,0.9850000143051147,372.781,547.092,0.968999981880188,444.976,669.016,0.9769999980926514,192.478,181.704,0.9929999709129333,189.443,243.305,0.9950000047683716,161.264,333.476,0.9890000224113464
22,1288.514,518.075,1.0,1284.379,559.454,1.0,1278.93,600.861,1.0,1180.514,457.479,1.0,1185.233,509.046,1.0,1187.619,546.206,1.0,1168.115,648.543,1.0,1168.333,690.834,1.0,1167.537,733.873,1.0,298.43,423.64,0.953000009059906,372.781,547.762,0.9599999785423279,444.854,669.111,0.9279999732971191,192.478,181.704,0.9940000176429749,189.393,243.729,0.9940000176429749,161.273,333.46,0.9890000224113464
23,1288.514,519.292,1.0,1283.877,559.454,1.0,1279.234,600.861,1.0,1192.068,421.982,1.0,1201.266,477.461,1.0,1204.215,515.106,1.0,1168.115,648.543,0.9990000128746033,1168.34,690.65,1.0,1167.518,733.873,1.0,298.43,424.31,0.9779999852180481,373.151,549.288,0.9440000057220459,444.232,669.158,0.9200000166893005,191.876,181.114,0.9909999966621399,189.189,243.929,0.9950000047683716,161.264,333.361,0.9850000143051147
24,1288.431,519.684,1.0,1283.877,561.235,1.0,1279.234,600.861,1.0,1204.111,382.796,1.0,1222.753,433.184,1.0,1225.957,475.319,1.0,1168.116,649.331,1.0,1168.984,690.65,1.0,1167.537,733.779,1.0,298.43,424.374,0.972000002861023,375.255,550.566,0.9679999947547913,444.232,669.158,0.9390000104904175,191.502,181.097,0.9940000176429749,189.112,244.135,0.9950000047683716,161.068,333.343,0.9890000224113464
25,1288.431,519.684,1.0,1284.261,560.829,1.0,1279.234,600.724,1.0,1228.465,342.325,1.0,1239.99,394.438,1.0,1244.279,435.808,1.0,1168.721,649.472,1.0,1168.984,690.834,1.0,1167.537,733.744,1.0,298.602,424.374,0.9819999933242798,379.782,550.566,0.9860000014305115,444.077,669.49,0.968999981880188,191.488,181.097,0.9919999837875366,189.112,244.26,0.9950000047683716,161.068,333.343,0.9879999756813049
26,1288.431,517.836,1.0,1284.261,560.829,1.0,1279.234,600.657,1.0,1254.605,302.891,1.0,1262.344,353.597,1.0,1269.556,395.902,1.0,1168.721,649.472,1.0,1168.34,691.708,1.0,1167.537,733.779,1.0,299.081,424.374,0.9890000224113464,379.84,549.996,0.9819999933242798,444.232,669.49,0.9639999866485596,191.445,181.114,0.9919999837875366,189.005,244.367,0.9950000047683716,161.082,333.361,0.9909999966621399
