scorer,DLC_resnet50_make_tea_multiNov11shuffle1_50000,DLC_resnet50_make_tea_multiNov11shuffle1_50000,DLC_resnet50_make_tea_multiNov11shuffle1_50000,DLC_resnet50_make_tea_multiNov11shuffle1_50000,DLC_resnet50_make_tea_multiNov11shuffle1_50000,DLC_resnet50_make_tea_multiNov11shuffle1_50000,DLC_resnet50_make_tea_multiNov11shuffle1_50000,DLC_resnet50_make_tea_multiNov11shuffle1_50000,DLC_resnet50_make_tea_multiNov11shuffle1_50000,DLC_resnet50_make_tea_multiNov11shuffle1_50000,DLC_resnet50_make_tea_multiNov11shuffle1_50000,DLC_resnet50_make_tea_multiNov11shuffle1_50000,DLC_resnet50_make_tea_multiNov11shuffle1_50000,DLC_resnet50_make_tea_multiNov11shuffle1_50000,DLC_resnet50_make_tea_multiNov11shuffle1_50000,DLC_resnet50_make_tea_multiNov11shuffle1_50000,DLC_resnet50_make_tea_multiNov11shuffle1_50000,DLC_resnet50_make_tea_multiNov11shuffle1_50000,DLC_resnet50_make_tea_multiNov11shuffle1_50000,DLC_resnet50_make_tea_multiNov11shuffle1_50000,DLC_resnet50_make_tea_multiNov11shuffle1_50000,DLC_resnet50_make_tea_multiNov11shuffle1_50000,DLC_resnet50_make_tea_multiNov11shuffle1_50000,DLC_resnet50_make_tea_multiNov11shuffle1_50000,DLC_resnet50_make_tea_multiNov11shuffle1_50000,DLC_resnet50_make_tea_multiNov11shuffle1_50000,DLC_resnet50_make_tea_multiNov11shuffle1_50000,DLC_resnet50_make_tea_multiNov11shuffle1_50000,DLC_resnet50_make_tea_multiNov11shuffle1_50000,DLC_resnet50_make_tea_multiNov11shuffle1_50000,DLC_resnet50_make_tea_multiNov11shuffle1_50000,DLC_resnet50_make_tea_multiNov11shuffle1_50000,DLC_resnet50_make_tea_multiNov11shuffle1_50000,DLC_resnet50_make_tea_multiNov11shuffle1_50000,DLC_resnet50_make_tea_multiNov11shuffle1_50000,DLC_resnet50_make_tea_multiNov11shuffle1_50000,DLC_resnet50_make_tea_multiNov11shuffle1_50000,DLC_resnet50_make_tea_multiNov11shuffle1_50000,DLC_resnet50_make_tea_multiNov11shuffle1_50000,DLC_resnet50_make_tea_multiNov11shuffle1_50000,DLC_resnet50_make_tea_multiNov11shuffle1_50000,DLC_resnet50_make_tea_multiNov11shuffle1_50000,DLC_resnet50_make_tea_multiNov11shuffle1_50000,DLC_resnet50_make_tea_multiNov11shuffle1_50000,DLC_resnet50_make_tea_multiNov11shuffle1_50000
individuals,individual1,individual1,individual1,individual1,individual1,individual1,individual1,individual1,individual1,individual2,individual2,individual2,individual2,individual2,individual2,individual2,individual2,individual2,single,single,single,single,single,single,single,single,single,single,single,single,single,single,single,single,single,single,single,single,single,single,single,single,single,single,single
bodyparts,head,head,head,middle,middle,middle,tail,tail,tail,head,head,head,middle,middle,middle,tail,tail,tail,cup_h,cup_h,cup_h,cup_m,cup_m,cup_m,cup_t,cup_t,cup_t,pitcher_h,pitcher_h,pitcher_h,pitcher_m,pitcher_m,pitcher_m,pitcher_t,pitcher_t,pitcher_t,tap_h,tap_h,tap_h,tap_m,tap_m,tap_m,tap_t,tap_t,tap_t
coords,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood
17,1463.289,519.567,1.0,1463.21,559.805,1.0,1467.227,600.628,1.0,,,,,,,,,,1372.553,648.476,0.9980000257492065,1371.409,693.069,0.9980000257492065,1362.233,732.089,1.0,506.418,431.23,0.996999979019165,588.475,556.305,0.9940000176429749,629.706,668.734,0.9139999747276306,456.715,180.287,0.9919999837875366,461.059,247.83,0.9959999918937683,443.526,335.658,0.9950000047683716
18,1464.478,519.567,1.0,1464.517,559.805,1.0,1467.315,600.716,1.0,,,,,,,,,,1374.243,648.58,0.23399999737739563,1371.412,693.698,0.9990000128746033,1362.256,731.857,1.0,506.74,431.151,0.996999979019165,588.475,556.139,0.9860000014305115,629.188,668.753,0.9539999961853027,457.014,180.287,0.9929999709129333,461.094,247.83,0.996999979019165,443.737,334.974,0.9950000047683716
19,1465.647,519.296,1.0,1464.762,560.712,1.0,1467.227,600.716,1.0,1390.723,545.977,1.0,1397.194,591.195,1.0,1389.447,624.414,0.996999979019165,1375.154,648.58,0.9290000200271606,1371.412,693.825,0.9990000128746033,1362.478,731.857,1.0,507.667,431.094,0.996999979019165,588.475,555.976,0.9940000176429749,626.83,669.728,0.9240000247955322,457.061,180.46,0.9929999709129333,461.098,247.83,0.996999979019165,443.737,334.841,0.9959999918937683
20,1466.3197634633964,519.567,0.9980000257492065,1464.762,560.1371055712318,1.0,1466.994,600.628,1.0,1390.723,520.822,1.0,1397.194,567.795,1.0,1389.447,605.342,1.0,1375.154,648.476,0.9990000128746033,1371.412,693.698,0.9990000128746033,1363.352,731.861,1.0,507.953,430.919,0.9950000047683716,588.267,555.744,0.9919999837875366,621.575,669.822,0.9419999718666077,457.597,180.598,0.9850000143051147,461.094,247.83,0.996999979019165,443.737,334.841,0.9959999918937683
21,1466.3197634633964,520.891,0.996999979019165,1464.762,559.805,1.0,1466.088,600.628,1.0,1390.723,490.794,1.0,1397.194,541.377,1.0,1389.447,577.791,1.0,1376.738,648.476,1.0,1372.027,693.825,1.0,1363.352,731.861,1.0,508.851,430.623,0.9950000047683716,587.905,555.218,0.9800000190734863,621.165,669.822,0.9520000219345093,457.84,180.598,0.9860000014305115,461.059,248.638,0.996999979019165,443.692,334.841,0.9950000047683716
22,1466.3197634633964,520.891,0.01,1464.762,559.634,0.01,1466.088,600.579,0.01,1402.787,458.967,1.0,1402.595,510.475,1.0,1406.78,546.921,1.0,1377.339,648.679,1.0,1372.027,693.825,0.9990000128746033,1362.478,731.898,1.0,510.24,430.612,0.9950000047683716,586.986,555.092,0.9789999723434448,620.871,669.729,0.9330000281333923,457.864,180.598,0.9810000061988831,461.098,248.638,0.996999979019165,443.692,335.033,0.9950000047683716
23,1466.3197634633964,519.398,1.0,1464.762,559.634,1.0,1466.088,600.579,1.0,1415.21,422.68,1.0,1419.217,477.32,1.0,1426.539,511.873,1.0,1377.339,647.939,1.0,1371.32,693.143,1.0,1362.104,731.898,1.0,510.365,430.612,0.9860000014305115,587.168,551.079,0.9700000286102295,620.629,669.729,0.9559999704360962,458.073,180.598,0.9819999933242798,461.098,248.638,0.9950000047683716,443.39,335.068,0.9940000176429749
24,1465.318,519.398,1.0,1465.059,559.317,1.0,1466.823,601.19,1.0,1431.945,382.753,1.0,1439.997,435.526,1.0,1444.523,474.82,1.0,1376.738,647.939,0.9990000128746033,1371.32,693.143,0.9990000128746033,1361.72,731.876,1.0,511.024,430.612,0.9829999804496765,587.168,551.079,0.9620000123977661,620.668,669.674,0.9580000042915344,458.073,180.424,0.9829999804496765,461.144,248.485,0.996999979019165,443.369,335.646,0.9950000047683716
25,1465.315,519.207,1.0,1465.419,559.284,1.0,1466.823,601.19,1.0,1456.407,338.049,0.9990000128746033,1465.796,393.342,1.0,1464.494,435.047,1.0,1376.175,648.614,1.0,1370.987,693.143,0.9990000128746033,1361.72,732.132,1.0,511.024,430.899,0.9909999966621399,586.986,551.079,0.9729999899864197,620.668,669.659,0.9670000076293945,457.996,180.343,0.9760000109672546,461.383,248.485,0.9940000176429749,443.369,335.78,0.9950000047683716
26,1465.315,519.207,1.0,1465.429,559.284,1.0,1466.823,600.579,1.0,1478.335,300.055,1.0,1488.612,352.069,1.0,1489.542,393.415,1.0,1376.118,648.614,0.9990000128746033,1370.987,692.978,1.0,1362.104,731.968,1.0,511.024,430.921,0.984000027179718,586.986,551.153,0.9819999933242798,620.629,669.532,0.9490000009536743,457.996,180.343,0.9810000061988831,461.383,248.485,0.9980000257492065,443.39,335.986,0.9950000047683716
