iteration: 10800, loss: 0.0009, scmap loss: 0.0009, locref loss: 0.0000, limb loss: 0.0000, lr: 5e-05
iteration: 10900, loss: 0.0009, scmap loss: 0.0008, locref loss: 0.0000, limb loss: 0.0000, lr: 5e-05
iteration: 11000, loss: 0.0009, scmap loss: 0.0009, locref loss: 0.0000, limb loss: 0.0000, lr: 5e-05
iteration: 11100, loss: 0.0009, scmap loss: 0.0009, locref loss: 0.0000, limb loss: 0.0000, lr: 5e-05
iteration: 11200, loss: 0.0009, scmap loss: 0.0009, locref loss: 0.0000, limb loss: 0.0000, lr: 5e-05
iteration: 11300, loss: 0.0009, scmap loss: 0.0008, locref loss: 0.0000, limb loss: 0.0000, lr: 5e-05
iteration: 11400, loss: 0.0009, scmap loss: 0.0009, locref loss: 0.0000, limb loss: 0.0000, lr: 5e-05
iteration: 11500, loss: 0.0010, scmap loss: 0.0009, locref loss: 0.0000, limb loss: 0.0000, lr: 5e-05
iteration: 11600, loss: 0.0010, scmap loss: 0.0009, locref loss: 0.0000, limb loss: 0.0000, lr: 5e-05
iteration: 11700, loss: 0.0009, scmap loss: 0.0009, locref loss: 0.0000, limb loss: 0.0000, lr: 5e-05
iteration: 11800, loss: 0.0009, scmap loss: 0.0009, locref loss: 0.0000, limb loss: 0.0000, lr: 5e-05
iteration: 11900, loss: 0.0009, scmap loss: 0.0008, locref loss: 0.0000, limb loss: 0.0000, lr: 5e-05
iteration: 12000, loss: 0.0009, scmap loss: 0.0009, locref loss: 0.0000, limb loss: 0.0000, lr: 5e-05
iteration: 12100, loss: 0.0009, scmap loss: 0.0009, locref loss: 0.0000, limb loss: 0.0000, lr: 1e-05
iteration: 12200, loss: 0.0009, scmap loss: 0.0008, locref loss: 0.0000, limb loss: 0.0000, lr: 1e-05
iteration: 12300, loss: 0.0008, scmap loss: 0.0007, locref loss: 0.0000, limb loss: 0.0000, lr: 1e-05
iteration: 12400, loss: 0.0009, scmap loss: 0.0008, locref loss: 0.0000, limb loss: 0.0000, lr: 1e-05
iteration: 12500, loss: 0.0009, scmap loss: 0.0008, locref loss: 0.0000, limb loss: 0.0000, lr: 1e-05
iteration: 12600, loss: 0.0008, scmap loss: 0.0008, locref loss: 0.0000, limb loss: 0.0000, lr: 1e-05
iteration: 12700, loss: 0.0008, scmap loss: 0.0008, locref loss: 0.0000, limb loss: 0.0000, lr: 1e-05
iteration: 12800, loss: 0.0008, scmap loss: 0.0008, locref loss: 0.0000, limb loss: 0.0000, lr: 1e-05
iteration: 12900, loss: 0.0008, scmap loss: 0.0008, locref loss: 0.0000, limb loss: 0.0000, lr: 1e-05
iteration: 13000, loss: 0.0009, scmap loss: 0.0008, locref loss: 0.0000, limb loss: 0.0000, lr: 1e-05
iteration: 13100, loss: 0.0008, scmap loss: 0.0008, locref loss: 0.0000, limb loss: 0.0000, lr: 1e-05
iteration: 13200, loss: 0.0008, scmap loss: 0.0008, locref loss: 0.0000, limb loss: 0.0000, lr: 1e-05
iteration: 13300, loss: 0.0008, scmap loss: 0.0008, locref loss: 0.0000, limb loss: 0.0000, lr: 1e-05
iteration: 13400, loss: 0.0009, scmap loss: 0.0008, locref loss: 0.0000, limb loss: 0.0000, lr: 1e-05
iteration: 13500, loss: 0.0008, scmap loss: 0.0008, locref loss: 0.0000, limb loss: 0.0000, lr: 1e-05
iteration: 13600, loss: 0.0008, scmap loss: 0.0008, locref loss: 0.0000, limb loss: 0.0000, lr: 1e-05
iteration: 13700, loss: 0.0008, scmap loss: 0.0008, locref loss: 0.0000, limb loss: 0.0000, lr: 1e-05
iteration: 13800, loss: 0.0008, scmap loss: 0.0008, locref loss: 0.0000, limb loss: 0.0000, lr: 1e-05
iteration: 13900, loss: 0.0008, scmap loss: 0.0008, locref loss: 0.0000, limb loss: 0.0000, lr: 1e-05
iteration: 14000, loss: 0.0008, scmap loss: 0.0008, locref loss: 0.0000, limb loss: 0.0000, lr: 1e-05
iteration: 14100, loss: 0.0008, scmap loss: 0.0008, locref loss: 0.0000, limb loss: 0.0000, lr: 1e-05
iteration: 14200, loss: 0.0008, scmap loss: 0.0007, locref loss: 0.0000, limb loss: 0.0000, lr: 1e-05
iteration: 14300, loss: 0.0008, scmap loss: 0.0007, locref loss: 0.0000, limb loss: 0.0000, lr: 1e-05
iteration: 14400, loss: 0.0008, scmap loss: 0.0008, locref loss: 0.0000, limb loss: 0.0000, lr: 1e-05
iteration: 14500, loss: 0.0008, scmap loss: 0.0008, locref loss: 0.0000, limb loss: 0.0000, lr: 1e-05
iteration: 14600, loss: 0.0008, scmap loss: 0.0008, locref loss: 0.0000, limb loss: 0.0000, lr: 1e-05
iteration: 14700, loss: 0.0008, scmap loss: 0.0008, locref loss: 0.0000, limb loss: 0.0000, lr: 1e-05
iteration: 14800, loss: 0.0008, scmap loss: 0.0008, locref loss: 0.0000, limb loss: 0.0000, lr: 1e-05
iteration: 14900, loss: 0.0008, scmap loss: 0.0007, locref loss: 0.0000, limb loss: 0.0000, lr: 1e-05
iteration: 15000, loss: 0.0008, scmap loss: 0.0007, locref loss: 0.0000, limb loss: 0.0000, lr: 1e-05
iteration: 15100, loss: 0.0008, scmap loss: 0.0007, locref loss: 0.0000, limb loss: 0.0000, lr: 1e-05
iteration: 15200, loss: 0.0008, scmap loss: 0.0007, locref loss: 0.0000, limb loss: 0.0000, lr: 1e-05
iteration: 15300, loss: 0.0008, scmap loss: 0.0007, locref loss: 0.0000, limb loss: 0.0000, lr: 1e-05
iteration: 15400, loss: 0.0009, scmap loss: 0.0008, locref loss: 0.0000, limb loss: 0.0000, lr: 1e-05
iteration: 15500, loss: 0.0008, scmap loss: 0.0008, locref loss: 0.0000, limb loss: 0.0000, lr: 1e-05
iteration: 15600, loss: 0.0008, scmap loss: 0.0008, locref loss: 0.0000, limb loss: 0.0000, lr: 1e-05
iteration: 15700, loss: 0.0008, scmap loss: 0.0007, locref loss: 0.0000, limb loss: 0.0000, lr: 1e-05
iteration: 15800, loss: 0.0008, scmap loss: 0.0007, locref loss: 0.0000, limb loss: 0.0000, lr: 1e-05
iteration: 15900, loss: 0.0008, scmap loss: 0.0008, locref loss: 0.0000, limb loss: 0.0000, lr: 1e-05
iteration: 16000, loss: 0.0008, scmap loss: 0.0007, locref loss: 0.0000, limb loss: 0.0000, lr: 1e-05
iteration: 16100, loss: 0.0008, scmap loss: 0.0007, locref loss: 0.0000, limb loss: 0.0000, lr: 1e-05
iteration: 16200, loss: 0.0007, scmap loss: 0.0007, locref loss: 0.0000, limb loss: 0.0000, lr: 1e-05
iteration: 16300, loss: 0.0008, scmap loss: 0.0007, locref loss: 0.0000, limb loss: 0.0000, lr: 1e-05
iteration: 16400, loss: 0.0007, scmap loss: 0.0007, locref loss: 0.0000, limb loss: 0.0000, lr: 1e-05
iteration: 16500, loss: 0.0008, scmap loss: 0.0007, locref loss: 0.0000, limb loss: 0.0000, lr: 1e-05
iteration: 16600, loss: 0.0008, scmap loss: 0.0008, locref loss: 0.0000, limb loss: 0.0000, lr: 1e-05
iteration: 16700, loss: 0.0008, scmap loss: 0.0007, locref loss: 0.0000, limb loss: 0.0000, lr: 1e-05
iteration: 16800, loss: 0.0008, scmap loss: 0.0007, locref loss: 0.0000, limb loss: 0.0000, lr: 1e-05
iteration: 16900, loss: 0.0007, scmap loss: 0.0007, locref loss: 0.0000, limb loss: 0.0000, lr: 1e-05
iteration: 17000, loss: 0.0007, scmap loss: 0.0007, locref loss: 0.0000, limb loss: 0.0000, lr: 1e-05
iteration: 17100, loss: 0.0007, scmap loss: 0.0007, locref loss: 0.0000, limb loss: 0.0000, lr: 1e-05
iteration: 17200, loss: 0.0008, scmap loss: 0.0007, locref loss: 0.0000, limb loss: 0.0000, lr: 1e-05
iteration: 17300, loss: 0.0008, scmap loss: 0.0007, locref loss: 0.0000, limb loss: 0.0000, lr: 1e-05
iteration: 17400, loss: 0.0008, scmap loss: 0.0008, locref loss: 0.0000, limb loss: 0.0000, lr: 1e-05
iteration: 17500, loss: 0.0008, scmap loss: 0.0007, locref loss: 0.0000, limb loss: 0.0000, lr: 1e-05
iteration: 17600, loss: 0.0008, scmap loss: 0.0008, locref loss: 0.0000, limb loss: 0.0000, lr: 1e-05
iteration: 17700, loss: 0.0008, scmap loss: 0.0007, locref loss: 0.0000, limb loss: 0.0000, lr: 1e-05
iteration: 17800, loss: 0.0008, scmap loss: 0.0007, locref loss: 0.0000, limb loss: 0.0000, lr: 1e-05
iteration: 17900, loss: 0.0008, scmap loss: 0.0008, locref loss: 0.0000, limb loss: 0.0000, lr: 1e-05
iteration: 18000, loss: 0.0008, scmap loss: 0.0007, locref loss: 0.0000, limb loss: 0.0000, lr: 1e-05
iteration: 18100, loss: 0.0008, scmap loss: 0.0007, locref loss: 0.0000, limb loss: 0.0000, lr: 1e-05
iteration: 18200, loss: 0.0008, scmap loss: 0.0007, locref loss: 0.0000, limb loss: 0.0000, lr: 1e-05
iteration: 18300, loss: 0.0007, scmap loss: 0.0007, locref loss: 0.0000, limb loss: 0.0000, lr: 1e-05
iteration: 18400, loss: 0.0007, scmap loss: 0.0007, locref loss: 0.0000, limb loss: 0.0000, lr: 1e-05
iteration: 18500, loss: 0.0008, scmap loss: 0.0007, locref loss: 0.0000, limb loss: 0.0000, lr: 1e-05
iteration: 18600, loss: 0.0008, scmap loss: 0.0007, locref loss: 0.0000, limb loss: 0.0000, lr: 1e-05
iteration: 18700, loss: 0.0008, scmap loss: 0.0007, locref loss: 0.0000, limb loss: 0.0000, lr: 1e-05
iteration: 18800, loss: 0.0007, scmap loss: 0.0007, locref loss: 0.0000, limb loss: 0.0000, lr: 1e-05
iteration: 18900, loss: 0.0008, scmap loss: 0.0008, locref loss: 0.0000, limb loss: 0.0000, lr: 1e-05
iteration: 19000, loss: 0.0008, scmap loss: 0.0007, locref loss: 0.0000, limb loss: 0.0000, lr: 1e-05
