individuals,pitcher,pitcher,pitcher,pitcher,pitcher,pitcher,teabag2,teabag2,teabag2,teabag2,teabag2,teabag2,teabag1,teabag1,teabag1,teabag1,teabag1,teabag1,cup,cup,cup,cup,cup,cup,tap,tap,tap,tap,tap,tap,time_stamp
pose,x,y,z,X,Y,Z,x,y,z,X,Y,Z,x,y,z,X,Y,Z,x,y,z,X,Y,Z,x,y,z,X,Y,Z,
100,409.6235386674502,41.673858772619006,711.504905873983,0.09751159278449585,0.6356483258111519,0.7657954656212782,238.63441943670327,139.00454932187967,835.2204680284615,0.04980881268925763,0.9585559763038866,-0.2805165279811323,-172.28260059303875,75.17786207696236,877.0750575645609,-0.02833141139473945,0.8641105104765024,0.5025040863639028,-163.55559620585194,117.13998414148637,863.6388175981815,0.14369572659527854,0.7378024817614054,0.6595445671559778,784.3971787554515,-404.8424584830333,1187.8425738738274,-0.5486497654075113,0.24121435770728972,-0.800499262057213,3.3333333333333335
101,413.3496302017076,43.13213532539558,718.8689220899263,0.07236042694144665,0.6775386822714065,0.7319189180768438,238.42400347411083,138.88198202366956,834.4840121593879,0.05645724828048379,0.9562451756186903,-0.28706748896831913,-172.16003283002874,75.12437796219436,876.4510762256009,-0.07632390255486932,0.8584965084976819,0.5071078847701784,-163.60090488423344,117.20158531594336,863.9272435170853,0.13586230989317621,0.7269431774351939,0.673123353874247,386.43661519171894,-208.60737634243233,598.4637845889453,-0.5433130274610204,0.25335625055651856,-0.8003883835333213,3.3666666666666667
102,412.2647483496154,42.96555689995992,716.092614999332,0.08734190359012793,0.6588472927674925,0.7471891572354344,238.43733488335852,138.88974756955633,834.5306720917548,0.048530134581965464,0.9584826295503173,-0.2809908804352298,-172.39546229813575,75.22711082100469,877.6496262450548,-0.0706824365638309,0.8106961027732175,0.5811848433241501,-163.84930960691256,117.2088977224409,863.7301789139542,0.1329089112161166,0.7100405476346098,0.6915038987844465,606.4328439666506,-317.2709514235147,921.8654894209972,-0.5573323942223455,0.2224813654043471,-0.7999266493861831,3.4
103,415.99558510616555,43.24706577836375,720.7844296393957,0.21388069920752006,0.5392108910105485,0.8145591823324521,238.3592894211598,140.42286455975795,835.5181768361472,0.06284984339715868,0.9534440270248985,-0.2949481047837017,-172.62141633442965,75.05278971062158,875.6158799572519,-0.018435929067114932,0.890966898453608,0.4536938421219651,-163.16193962982578,117.41821934965381,860.2563855431081,0.11181033835597083,0.6803174269121455,0.724338765272411,521.8398452971296,-280.15164411991117,803.7137331308927,-0.5472998281104167,0.2490063331832456,-0.7990361344676115,3.433333333333333
104,421.3695623636072,46.16642309515534,737.8297201966794,0.020615088236266777,0.7298984692101451,0.6832446434343249,238.46014495373095,140.76284636903097,835.8510897270796,0.043056516088171355,0.9529578517242533,-0.3000291140196987,-173.594169281797,75.20325023038136,877.3712526877827,-0.06369829777626936,0.8333693213245112,0.5490337887011412,-164.05214894486602,117.29197497373215,864.6922003085065,0.1492541492179657,0.7324334402970191,0.6642773927177518,859.4486241401282,-445.8985068168406,1298.753869728238,-0.5499923010217529,0.23487865682193795,-0.801461468435208,3.466666666666667
105,419.133197116538,46.5674173770273,732.2139940013801,0.04181373972639434,0.7170086663849661,0.6958090136660675,238.46681209608795,138.310751015731,834.6338423363078,0.028183980096396322,0.9459224459471007,-0.32316619488953385,-172.80638432399658,75.13321057565068,876.5541233825913,-0.07367337721378467,0.8027870369684688,0.5916968875744588,-163.42928028170465,117.44287592073381,863.1007649052508,0.12289008914769647,0.7141215267036942,0.689150543123675,813.3714577592759,-419.39464983288815,1227.726429189981,-0.5473293404239182,0.24076212995317067,-0.8015386390508765,3.5
106,419.5130417630279,47.37574122992314,734.1807807271587,0.04202339419002148,0.7151215775971034,0.6977357405176979,238.27313373958756,138.19841756896082,833.9559680885566,0.025960479377220094,0.944702967988574,-0.3268980816463817,-171.45109482690597,75.71380464983802,876.0274918163078,-0.02053383047869169,0.8340187385992733,0.5513538840628127,-163.5209287414208,117.13891227970294,860.4907701799191,0.10225730952386414,0.6738028971974643,0.7318012697291827,630.6187099433707,-331.0869622771671,959.16351602183,-0.5551454605007354,0.22502758711090606,-0.8007347268131125,3.533333333333333
107,412.6251016142513,42.79075127851495,713.1791879752493,0.061510033282832804,0.6479182611469736,0.7592222617111718,238.5070760368795,138.33410410139012,834.7747661290783,0.04023659239890335,0.9492713295557554,-0.311873306833998,-173.07784969175495,75.87833265471865,877.931121624844,-0.06356420465738588,0.836159337271995,0.5447909274016336,-163.93348002570872,117.67720279715664,862.5660854778279,0.11631873217656004,0.6890896388040014,0.7152799607411134,403.60088986209723,-219.18879912199685,618.5432972954602,-0.7119588848471642,-0.458809856823794,-0.5316089366898493,3.566666666666667
108,414.896221157513,45.779129713235605,719.0256205510964,0.06637156944640223,0.6624724626807031,0.7461401014279999,236.98005008688904,140.22306712178994,831.6379981582633,0.08628609493861514,0.9779196724683147,-0.19033608175989314,-170.68946081120959,79.69691736405741,878.548695351814,0.015377468078881906,0.8563802001328649,0.5161167370817162,-164.11821827512696,117.02559852310843,862.0139790202379,0.11647287980167276,0.687502680904092,0.7167803931612469,423.25017613713095,-229.3773029617343,654.0289697483261,-0.5455716912632863,0.24917733733200828,-0.800163848378723,3.6
109,420.46151232347364,44.994036374098656,724.0419646406681,0.04253189619027375,0.6869825766908545,0.7254281336766959,237.39764279492027,140.23196962993097,832.1048521728401,0.0804972035864097,0.9674115467205808,-0.24007311279371044,-172.09641325210234,75.72242183092501,876.1271947379755,-0.004801914562766216,0.9205859321012458,0.3905105417704014,-165.35815167401037,117.22530646827158,866.5909366289897,0.14651664974173292,0.7484045004858381,0.6468566881473836,443.3759128489809,-235.8232771926552,675.041163810578,-0.6353973153066051,0.026120707763198317,-0.7717434549946688,3.6333333333333333
