scorer,cup3d,cup3d,cup3d,cup3d,cup3d,cup3d,cup3d,cup3d,cup3d,cup3d,cup3d,cup3d,cup3d,cup3d,cup3d,cup3d,cup3d,cup3d,cup3d,cup3d,cup3d,cup3d,cup3d,cup3d,tap3d,tap3d,tap3d,tap3d,tap3d,tap3d,tap3d,tap3d,tap3d,tap3d,tap3d,tap3d,teabag3d,teabag3d,teabag3d,teabag3d,teabag3d,teabag3d,teabag3d,teabag3d,teabag3d,teabag3d,teabag3d,teabag3d,teabag3d,teabag3d,teabag3d,teabag3d,teabag3d,teabag3d,teabag3d,teabag3d,teabag3d,teabag3d,teabag3d,teabag3d,teabag3d,teabag3d,teabag3d,teabag3d,teabag3d,teabag3d,pitcher3d,pitcher3d,pitcher3d,pitcher3d,pitcher3d,pitcher3d,pitcher3d,pitcher3d,pitcher3d,pitcher3d,pitcher3d,pitcher3d
individuals,cup,cup,cup,cup,cup,cup,cup,cup,cup,cup,cup,cup,cup,cup,cup,cup,cup,cup,cup,cup,cup,cup,cup,cup,tap,tap,tap,tap,tap,tap,tap,tap,tap,tap,tap,tap,teabag1,teabag1,teabag1,teabag1,teabag1,teabag1,teabag1,teabag1,teabag1,teabag1,teabag1,teabag1,teabag1,teabag1,teabag1,teabag2,teabag2,teabag2,teabag2,teabag2,teabag2,teabag2,teabag2,teabag2,teabag2,teabag2,teabag2,teabag2,teabag2,teabag2,pitcher,pitcher,pitcher,pitcher,pitcher,pitcher,pitcher,pitcher,pitcher,pitcher,pitcher,pitcher
bodyparts,bodypart1,bodypart1,bodypart1,bodypart2,bodypart2,bodypart2,bodypart3,bodypart3,bodypart3,bodypart4,bodypart4,bodypart4,bodypart5,bodypart5,bodypart5,bodypart6,bodypart6,bodypart6,bodypart7,bodypart7,bodypart7,bodypart8,bodypart8,bodypart8,bodypart1,bodypart1,bodypart1,bodypart2,bodypart2,bodypart2,bodypart3,bodypart3,bodypart3,bodypart4,bodypart4,bodypart4,top_left,top_left,top_left,bottom_left,bottom_left,bottom_left,bottom_right,bottom_right,bottom_right,top_right,top_right,top_right,center,center,center,top_left,top_left,top_left,bottom_left,bottom_left,bottom_left,bottom_right,bottom_right,bottom_right,top_right,top_right,top_right,center,center,center,tip,tip,tip,top_handle_inner,top_handle_inner,top_handle_inner,top_handle_outer,top_handle_outer,top_handle_outer,bottom_handle_outer,bottom_handle_outer,bottom_handle_outer
coords,x,y,z,x,y,z,x,y,z,x,y,z,x,y,z,x,y,z,x,y,z,x,y,z,x,y,z,x,y,z,x,y,z,x,y,z,x,y,z,x,y,z,x,y,z,x,y,z,x,y,z,x,y,z,x,y,z,x,y,z,x,y,z,x,y,z,x,y,z,x,y,z,x,y,z,x,y,z
11,-22.268964772990643,165.54662109546845,699.082615814162,-26.06750218602541,210.76547002757053,681.054514743158,-88.70603165098235,208.55800259416964,663.5303325079819,-80.63289142308797,158.80003925427602,684.1586038447844,-56.465926465987934,167.17856877080862,735.3016531900529,-54.69955587009509,149.05388413977911,735.1039636718631,,,,,,,,,,304.2990669723856,-100.3644480454977,502.01372056963066,293.84379183609923,-112.27951896738763,511.35649355065476,294.5805416872252,-128.66485701576315,536.2513878783792,,,,,,,-160.04747285441593,-142.42720159084766,1634.1257925600844,-327.194152760665,-341.7521339644491,2577.7394175565682,-171.27182199868895,-149.82415500503484,1476.741210456422,-65.56425601639596,-81.16150586537644,692.0176606970533,,,,-33.442456674038326,-60.059327147983154,689.4712447251002,-28.234912080438885,-75.91188767107909,570.0922466518733,-52.92689813840807,-73.3028409464035,710.0091683848552,152.95561450511747,-86.22996097551656,722.5576162608291,74.48386881662198,-14.869090798358654,673.1779909444901,51.979526987848914,12.90543259034611,666.6222935730373,57.33237174552677,61.55934050201011,728.6527835825642
12,-21.744849669024664,164.83454388486197,696.5057275130675,-25.42457485958217,208.15916825556093,672.3162749004845,-88.64584979275398,208.61124471292788,663.3364974788976,-80.49790981969781,158.63504089977408,683.6987719892795,-56.03391651448194,166.00272887979838,731.6675561298682,-55.20402362463606,150.42853658508272,741.8834747664271,,,,,,,,,,304.34462963294123,-100.42996696643955,501.9426206125056,294.22471658254887,-112.30606249224535,512.0190177638434,294.7378546784052,-128.55280277562602,536.604098013611,,,,,,,-159.44245149402352,-142.14032909024994,1630.7898317503266,-327.49449133157236,-342.40867737728934,2582.692612273486,-169.72321796526427,-149.1655320721484,1470.253849965127,-65.40388145344568,-80.8495839438543,690.9760771128368,,,,-33.76766940897653,-60.333947817669205,692.3840147042936,-28.325452201811313,-75.99596245968573,570.385749698033,-53.26661039626195,-73.53515101577159,713.344847446605,152.60153516067973,-85.98212717027397,720.8967587956258,74.28810183170214,-14.824252203860128,671.4085170760477,52.14665717182632,12.808640362249498,669.470985297593,56.9378520795679,61.97832310352531,728.4860138521353
13,-21.804199017899872,165.07741811522249,698.4347883691448,-24.97012820430921,206.0959306824483,665.4566571989888,-88.6486818219791,208.4177708002498,663.3493250924816,-79.74635880164345,157.47317964534395,678.6861115660943,-56.03375840238077,166.02320145306393,731.6664523121879,-55.81006845875167,151.20818532924244,745.6909403549274,,,,,,,,,,304.5052293087714,-100.49388350048052,502.20754314328525,294.22471658254887,-112.30606249224535,512.0190177638434,294.88338136743005,-128.58528296020805,536.9034307777987,,,,,,,-159.4001481876962,-142.43207401390475,1630.3545598260962,-331.20646927356705,-346.375668822216,2611.970501340652,-169.46663806642243,-149.20324693818353,1468.9548654323517,-65.57458838358427,-80.87845485201346,691.6031468326843,,,,-33.81555410432145,-60.41950517896283,693.3658591126015,-28.41063065098884,-76.04158761201566,570.519031251123,-54.56624267612141,-74.04543347026849,718.702451733204,152.56263389164417,-85.8634627348168,720.712259030398,74.25928647518077,-14.818502075611486,671.1480867334459,52.20097043238775,12.773807957218438,669.9765086172623,56.85546487033232,62.16185817546491,729.4352178651058
14,-21.812882547935697,165.13153175921013,698.7145063898042,-24.80417678896935,206.0626245420794,664.4161472093315,-88.51318537625602,208.003474324841,662.3396057475892,-79.75330197993223,159.15382047766158,678.6764167140022,-56.0336624536833,166.035640690268,731.6657821331451,-55.992106835688176,151.3863329328942,746.5705962149253,,,,,,,,,,304.4728487748731,-100.49071393062482,502.1193148190034,293.92196578567604,-112.21114321980936,511.58623694974915,294.898469910727,-128.5242380907408,536.8299091783385,,,,,,,-158.81375675896913,-142.07242714668678,1626.1263270091665,-334.79631897990663,-349.4665903498529,2633.482220966789,-168.5882546745851,-148.78356288250203,1464.4949275785684,-65.87369096984989,-80.9864407216532,692.7190736436202,,,,-33.84212342447638,-60.50100406192626,693.487396468935,-28.400769423797822,-76.0711366737293,570.3212758800927,-54.59515705738068,-74.08466977534908,719.0832885695409,152.36445151599858,-85.75192411888816,719.7760372045535,74.20489518821769,-14.897784028171893,671.9502524411786,52.239766207925335,12.783301454795083,670.4744353421875,56.841647878379824,62.21320410594661,729.2606839474846
15,-22.023351927321393,165.6293831902832,701.1178222039896,-24.80437201716966,206.1117031621052,664.4159408024169,-88.47606748776765,208.03449519951116,662.1126874277602,-79.75300534209619,159.17679323535722,678.6749456552093,-56.25455643054753,166.7232871310426,733.4209425413916,-56.15830410175837,151.82095934413437,748.7787994323074,,,,,,,,,,304.50598341311337,-100.4274036014287,502.2091948947591,293.54862128940306,-111.91721915440145,510.66046960411865,294.82073967155816,-128.46876811927933,536.5908819193,,,,,,,-158.81440635828807,-142.2430015476772,1626.1344267646114,-339.12688294535974,-351.92897791598153,2659.693576142255,-168.56727509721716,-148.77222692835159,1464.3197405615076,-65.57670914123955,-80.85778985333819,691.6197758641183,,,,-33.81502334094289,-60.39997942300484,693.3630315091094,-28.4771286408177,-76.06849942121153,570.2016712724852,-54.59529653076631,-74.0637389648187,719.0834133055595,152.34329828332113,-85.69831812497257,719.3048893457417,74.09056605136678,-14.905915199142312,672.3102743050565,52.301893558410576,12.667041538785679,671.2702348159874,56.9004734030601,62.41339843637029,728.0027755760112
16,-21.986789025450957,165.21337580337521,699.9479738109715,-23.226118197748153,203.8602071785182,657.1630033280456,-88.31597960144006,207.77659475079102,661.4284075380867,-79.73841010572764,159.22994828976962,678.5494594893077,-56.71046988613383,168.28264552767487,738.3406338887823,-56.20581261383023,151.92985790748213,749.2037752141,,,,,,,,,,304.58286661443424,-100.47773851175762,502.4573061146064,293.2863858711795,-112.04138174920142,510.4297587165682,294.87012922564514,-128.57389671001494,536.7431275578108,,,,,,,-158.8146724789787,-142.31170057883372,1626.1377151180643,-340.0106989942215,-353.0355779162457,2664.9139228063036,-169.16397676506745,-149.30624033696057,1466.356025258725,-65.84834001141698,-81.04762843477603,692.6883089040859,,,,-33.76457332818099,-60.326303061224856,692.3898801400386,-28.580128778026086,-76.20367542157727,570.4642053606291,-54.549034312846146,-74.02157960658116,718.5427941197643,152.32908105217334,-85.71801197464835,718.9860991259433,73.95847987830966,-14.922905877954094,671.6025508415688,52.44532174388438,12.67143304986056,673.3012635961372,56.99025195608195,62.4042159116772,727.5293524439921
17,-22.03128642331995,165.2436902082597,700.1681623055917,-23.15218583117404,203.8631075885898,657.1603096733855,-88.24716640472168,207.6412895194429,661.2108658142448,-79.61251632048881,158.91753204483658,677.1997613812395,-56.710349910525935,168.2980724758917,738.3397952221372,-56.18120717313146,151.86334697320046,748.8757933167749,,,,,,,,,,304.61635288900413,-100.49959366389933,502.54866672424384,293.2377269538774,-112.07260985351779,510.3448352548561,294.6165877101727,-128.47236009787323,536.2440479316474,,,,,,,-158.52931777961928,-142.6808475117284,1624.4853829329045,-365.5258339066505,-375.211028368996,2814.863689148297,-170.0227395676468,-149.79033161178077,1470.5453721873234,-65.87716471997862,-80.93600742939996,692.7933509858533,,,,-33.6531477713717,-60.28034025609401,691.4529810013013,-28.588469761169787,-76.25088968260229,570.6326545342206,-54.51173412409677,-74.009845411674,718.3891091613801,152.50607320138892,-85.81760828982091,719.8214937470215,73.93813280077745,-14.907825788413179,670.9262311909806,52.45190000522386,12.491680529386665,673.597551203845,57.07289476879014,62.59247338385377,728.5884718363477
18,-21.986831910354663,165.02300646651003,699.9526362534917,-23.227346851441858,204.49125573862582,659.2898225522451,-87.93922333000212,207.33418785151082,660.2315656378053,-79.54618283550069,158.7706421665418,676.5738800432389,-56.59540158260802,168.19570750765658,737.8586768382876,-56.14560752073354,151.81049257039618,748.615001723004,,,,,,,,,,304.58283754824794,-100.48364889625998,502.4572627111687,293.1413593333899,-112.01728741717066,510.06041632842795,294.6163070278335,-128.51061592941522,536.2433869948716,,,,,,,-157.78844920087684,-142.51628387260544,1622.61602593815,-365.5210476980133,-375.47917671953155,2814.842784367578,-169.64789564287145,-149.8840697405806,1466.4631207419302,-66.01605628830933,-80.99502372738066,693.3944131414981,,,,-33.57673118834145,-60.21683734531053,690.9684029206611,-28.62077460287109,-76.35776234599243,571.1719555250235,-54.41148564359955,-73.9915487080098,717.976347414375,152.70317408422807,-85.95521080145622,720.7856369818152,73.88360694300039,-14.840678826242828,670.9213820323057,52.45190000522386,12.491680529386665,673.597551203845,57.13397182127353,62.65945726121972,729.3681770981639
19,-22.015313572479137,164.93783431327697,700.0960176437325,-23.31913612004599,204.79524803693133,660.6837336887379,-88.07025576187316,207.80673878706986,661.2084418441152,-79.33076891663706,158.31066628085148,674.7403373762015,-56.63777848750096,168.04617915943777,737.3976152303815,-55.313638538311956,151.12735338018274,745.0734614884939,,,,,,,,,,304.5827040939315,-100.49852618581112,502.45698920840215,293.05135424141633,-111.91229341285404,509.794479801354,294.64618245142657,-128.5959848744144,536.3356419272715,,,,,,,-158.12036019633842,-142.26303481498883,1626.0308634268752,-364.4069491810522,-374.8796205155851,2806.2875387094728,-169.82256330206667,-149.98144766819738,1467.174093676209,-66.30341868110136,-81.14501860344761,695.0715953021023,,,,-33.48223078800162,-60.11405442999402,690.1985339932497,-29.0484689399071,-77.769749332139,578.6391784200167,-52.99261180249149,-73.86963155142304,711.8163538284281,152.7031428823117,-85.94643856955992,720.7852764081737,73.88360336374788,-14.836123017703128,670.9212291975949,52.63883443600449,12.489046164057985,674.8279185299289,57.090728264644405,62.51117556306958,730.1092921044392
20,-21.9474607313338,164.77897552236905,699.5542881631976,-23.45449434234488,205.73728095615743,663.6013907076738,-88.30641837643037,207.9360814809513,661.9621741071987,-79.46265249615696,158.3422586764247,675.1889112166199,-56.65432405254285,167.97671124275473,737.2583828082116,-55.016914306771305,150.354671433595,741.0746415405898,,,,,,,,,,304.5940185189344,-100.50489061183522,502.47801364890273,293.05784722063487,-111.82208002793618,509.6307620124413,294.5801797835364,-128.58790350241904,536.3019276492023,,,,,,,-158.51340485183863,-142.7345857934992,1630.071663934577,-366.54946317398264,-376.094453443037,2822.834292750744,-170.06950602382693,-150.23671370996394,1467.4728124532294,-66.53263261705989,-81.43905941337904,697.1888997238107,,,,-33.343059033822975,-60.12122411440949,689.5731138296019,-29.151271984730318,-78.19652010017252,580.6842154711424,-52.87094434245068,-73.70003187671368,710.182071656194,152.68076459300102,-85.89885112261659,720.6793720387521,73.86619091762178,-14.78970133922156,671.172624708396,52.58801149313748,12.397591511157124,675.3413857253154,57.09069859545868,62.52031061572005,730.1092867675378
