scorer,luke_yinghan,luke_yinghan,luke_yinghan,luke_yinghan,luke_yinghan,luke_yinghan,luke_yinghan,luke_yinghan,luke_yinghan,luke_yinghan,luke_yinghan,luke_yinghan,luke_yinghan,luke_yinghan,luke_yinghan,luke_yinghan,luke_yinghan,luke_yinghan,luke_yinghan,luke_yinghan,luke_yinghan,luke_yinghan,luke_yinghan,luke_yinghan,luke_yinghan,luke_yinghan
individuals,individual1,individual1,individual1,individual1,individual2,individual2,individual2,individual2,single,single,single,single,single,single,single,single,single,single,single,single,single,single,single,single,single,single
bodyparts,head,head,tail,tail,head,head,tail,tail,cup_h,cup_h,cup_m,cup_m,cup_t,cup_t,pitcher_h,pitcher_h,pitcher_m,pitcher_m,pitcher_t,pitcher_t,tap_h,tap_h,tap_m,tap_m,tap_t,tap_t
metrics,rmse,conf,rmse,conf,rmse,conf,rmse,conf,rmse,conf,rmse,conf,rmse,conf,rmse,conf,rmse,conf,rmse,conf,rmse,conf,rmse,conf,rmse,conf
27,3.7760743558899628,1.0,2.4473038151694566,0.9990000128746033,0.6694358951374677,1.0,2.128856339396054,1.0,3.389020436134208,1.0,3.186249022779049,1.0,1.5107623455866415,1.0,3.7737058044721694,0.9909999966621399,5.92561975433019,0.8999999761581421,4.854059922468112,0.9810000061988831,2.945318923916021,0.9980000257492065,2.417697912474044,0.9919999837875366,5.475185979025463,0.9950000047683716
28,1.7492510030215185,1.0,8.300839805090762,0.9990000128746033,4.5005693496242,1.0,2.167480195893063,1.0,3.704567803557837,1.0,0.4150141818576235,1.0,3.182043609093494,1.0,2.2051778803936593,0.9750000238418579,5.280311010043573,0.9430000185966492,1.6419964100808526,0.9829999804496765,3.7902762913638797,0.9980000257492065,4.774113240785111,0.9919999837875366,2.880267597738689,0.9950000047683716
29,2.9174645142848985,1.0,1.6837408877845537,0.9990000128746033,1.2240317858741203,1.0,5.978147394295848,1.0,1.4012278996053973,1.0,2.4284936989531882,1.0,2.8994890674458063,1.0,4.006785796844495,0.9810000061988831,9.245004853027494,0.9380000233650208,8.570381810281937,0.9810000061988831,2.8223353879389674,0.9980000257492065,4.748138348554816,0.9919999837875366,4.552901763946893,0.9950000047683716
30,1.6626395045815938,1.0,3.4612099975185395,0.9990000128746033,1.4694534963016,1.0,6.141202104291407,1.0,20.24337897655802,0.9980000257492065,3.2147749498595326,0.9879999756813049,4.805087465520399,1.0,8.164944151777002,0.984000027179718,16.769961475568763,0.949999988079071,10.232212144241199,0.9819999933242798,0.9018744406654955,0.9990000128746033,9.997562466523297,0.9929999709129333,1.956626454804233,0.9950000047683716
31,3.112646577723375,1.0,4.822344871913011,0.9990000128746033,2.1286550122726853,1.0,1.8915409888757189,1.0,0.939056898268828,1.0,5.464052643377509,1.0,0.7431447771982924,1.0,2.139295876200504,0.9750000238418579,9.049124211989144,0.9359999895095825,2.878861238973918,0.9829999804496765,0.8513627873537353,0.9980000257492065,6.000821743678867,0.9929999709129333,3.867730547858104,0.9950000047683716
32,1.892405298758568,1.0,3.5419301352350967,0.9990000128746033,4.9720840561792725,1.0,3.754030864807992,1.0,0.9830647849116652,1.0,4.595473674275658,1.0,0.6853898901988303,1.0,5.146002171909824,0.984000027179718,4.720697992441192,0.9490000009536743,1.2161334681013796,0.9729999899864197,4.349596532491558,0.9980000257492065,4.359531664109391,0.9929999709129333,4.58363714587089,0.9950000047683716
33,3.67100188891357,1.0,3.2419863544599408,0.9990000128746033,3.9530109966923104,1.0,1.4168490837390073,0.9990000128746033,1.0082079256376382,1.0,1.6076579351554758,1.0,0.7638819075844919,1.0,1.3124831869862748,0.9760000109672546,6.043464159948369,0.9380000233650208,3.901837924618508,0.9810000061988831,4.9399714688871725,0.9980000257492065,5.19849583841498,0.9929999709129333,2.3283864307928277,0.9950000047683716
34,3.9572943388992714,1.0,3.090819164635089,0.9990000128746033,2.5885214780538814,1.0,4.942331773757532,0.9990000128746033,4.37707438460027,1.0,1.7352111714948195,1.0,3.8697724341518054,1.0,4.859217342344232,0.9900000095367432,9.50604973127777,0.9039999842643738,1.270126228726938,0.9700000286102295,2.2191175404021495,0.9980000257492065,4.3372077787372465,0.9909999966621399,2.7474746325146078,0.9950000047683716
35,0.8793258496527151,1.0,3.1054577181635983,0.9990000128746033,0.7766613900754742,1.0,1.761108082383478,0.9990000128746033,3.733055939111789,1.0,1.3767044459899276,1.0,4.012772397565527,1.0,3.299860636334744,0.9950000047683716,3.1091325942494263,0.9160000085830688,4.292638148153845,0.9679999947547913,2.3634291062671497,0.9980000257492065,2.6361836173693036,0.9909999966621399,4.329119741312871,0.9950000047683716
36,1.8967131360371292,1.0,1.1378607326570398,0.9980000257492065,0.9036007630429819,1.0,3.1653718536968958,1.0,0.7731308017877478,1.0,1.9132449922851746,1.0,1.2606285184312154,1.0,10.894454089359964,0.9829999804496765,16.676635529771115,0.8199999928474426,8.362358172119615,0.9559999704360962,,,,,,
