scorer,DLC_resnet50_make_tea_multiNov11shuffle1_50000,DLC_resnet50_make_tea_multiNov11shuffle1_50000,DLC_resnet50_make_tea_multiNov11shuffle1_50000,DLC_resnet50_make_tea_multiNov11shuffle1_50000,DLC_resnet50_make_tea_multiNov11shuffle1_50000,DLC_resnet50_make_tea_multiNov11shuffle1_50000,DLC_resnet50_make_tea_multiNov11shuffle1_50000,DLC_resnet50_make_tea_multiNov11shuffle1_50000,DLC_resnet50_make_tea_multiNov11shuffle1_50000,DLC_resnet50_make_tea_multiNov11shuffle1_50000,DLC_resnet50_make_tea_multiNov11shuffle1_50000,DLC_resnet50_make_tea_multiNov11shuffle1_50000,DLC_resnet50_make_tea_multiNov11shuffle1_50000,DLC_resnet50_make_tea_multiNov11shuffle1_50000,DLC_resnet50_make_tea_multiNov11shuffle1_50000,DLC_resnet50_make_tea_multiNov11shuffle1_50000,DLC_resnet50_make_tea_multiNov11shuffle1_50000,DLC_resnet50_make_tea_multiNov11shuffle1_50000,DLC_resnet50_make_tea_multiNov11shuffle1_50000,DLC_resnet50_make_tea_multiNov11shuffle1_50000,DLC_resnet50_make_tea_multiNov11shuffle1_50000,DLC_resnet50_make_tea_multiNov11shuffle1_50000,DLC_resnet50_make_tea_multiNov11shuffle1_50000,DLC_resnet50_make_tea_multiNov11shuffle1_50000,DLC_resnet50_make_tea_multiNov11shuffle1_50000,DLC_resnet50_make_tea_multiNov11shuffle1_50000,DLC_resnet50_make_tea_multiNov11shuffle1_50000,DLC_resnet50_make_tea_multiNov11shuffle1_50000,DLC_resnet50_make_tea_multiNov11shuffle1_50000,DLC_resnet50_make_tea_multiNov11shuffle1_50000,DLC_resnet50_make_tea_multiNov11shuffle1_50000,DLC_resnet50_make_tea_multiNov11shuffle1_50000,DLC_resnet50_make_tea_multiNov11shuffle1_50000,DLC_resnet50_make_tea_multiNov11shuffle1_50000,DLC_resnet50_make_tea_multiNov11shuffle1_50000,DLC_resnet50_make_tea_multiNov11shuffle1_50000,DLC_resnet50_make_tea_multiNov11shuffle1_50000,DLC_resnet50_make_tea_multiNov11shuffle1_50000,DLC_resnet50_make_tea_multiNov11shuffle1_50000,DLC_resnet50_make_tea_multiNov11shuffle1_50000,DLC_resnet50_make_tea_multiNov11shuffle1_50000,DLC_resnet50_make_tea_multiNov11shuffle1_50000,DLC_resnet50_make_tea_multiNov11shuffle1_50000,DLC_resnet50_make_tea_multiNov11shuffle1_50000,DLC_resnet50_make_tea_multiNov11shuffle1_50000
individuals,individual1,individual1,individual1,individual1,individual1,individual1,individual1,individual1,individual1,individual2,individual2,individual2,individual2,individual2,individual2,individual2,individual2,individual2,single,single,single,single,single,single,single,single,single,single,single,single,single,single,single,single,single,single,single,single,single,single,single,single,single,single,single
bodyparts,head,head,head,middle,middle,middle,tail,tail,tail,head,head,head,middle,middle,middle,tail,tail,tail,cup_h,cup_h,cup_h,cup_m,cup_m,cup_m,cup_t,cup_t,cup_t,pitcher_h,pitcher_h,pitcher_h,pitcher_m,pitcher_m,pitcher_m,pitcher_t,pitcher_t,pitcher_t,tap_h,tap_h,tap_h,tap_m,tap_m,tap_m,tap_t,tap_t,tap_t
coords,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood
22,1466.75,517.683,1.0,1463.001,559.106,1.0,1463.614,601.115,1.0,,,,,,,,,,1222.246,442.384,1.0,1224.502,493.44,1.0,1215.544,541.213,1.0,508.915,429.434,0.9800000190734863,586.831,564.799,0.9580000042915344,628.363,670.462,0.9010000228881836,457.148,180.718,0.9879999756813049,460.602,248.197,0.9869999885559082,443.396,335.769,0.996999979019165
23,1466.114,517.683,1.0,1462.79,559.083,1.0,1464.117,600.379,1.0,,,,,,,,,,1222.246,442.384,1.0,1224.502,493.44,0.9990000128746033,1216.236,541.213,1.0,509.693,429.434,0.9829999804496765,586.824,564.799,0.949999988079071,627.164,670.518,0.9089999794960022,456.864,180.718,0.9890000224113464,460.602,248.197,0.9869999885559082,443.396,335.769,0.996999979019165
24,1465.999,517.645,1.0,1462.787,558.783,1.0,1464.169,600.16,0.9990000128746033,,,,,,,,,,1223.937,442.956,0.9990000128746033,1224.567,492.21,0.9990000128746033,1216.078,541.213,1.0,509.693,429.143,0.996999979019165,579.772,563.461,0.9049999713897705,627.086,670.737,0.9399999976158142,456.591,181.195,0.9900000095367432,460.602,248.169,0.9900000095367432,443.413,335.372,0.9959999918937683
25,1465.728,517.476,1.0,1462.787,559.025,1.0,1464.169,599.901,0.9990000128746033,,,,,,,,,,1224.603,442.89,0.9990000128746033,1224.664,492.21,1.0,1216.385,541.213,1.0,509.525,428.649,0.9890000224113464,579.577,563.461,0.9160000085830688,626.593,670.737,0.9470000267028809,456.591,181.451,0.9909999966621399,460.611,248.197,0.9900000095367432,443.618,335.347,0.9959999918937683
26,1465.3,517.009,1.0,1462.556,559.025,1.0,1464.169,599.764,0.9990000128746033,,,,,,,,,,1224.849,442.662,0.9990000128746033,1224.664,492.21,1.0,1216.385,541.213,1.0,509.525,428.571,0.9879999756813049,579.577,563.461,0.9079999923706055,626.287,670.756,0.9549999833106995,456.591,181.451,0.9909999966621399,460.824,248.197,0.9909999966621399,443.632,335.296,0.996999979019165
27,1464.924,517.009,1.0,1462.556,559.025,1.0,1464.169,599.72,0.9990000128746033,,,,,,,,,,1224.849,442.662,1.0,1224.567,492.439,0.9990000128746033,1216.078,541.224,1.0,509.525,428.649,0.9909999966621399,579.495,563.775,0.8949999809265137,626.26,670.756,0.9559999704360962,456.411,181.451,0.9909999966621399,460.997,248.169,0.9929999709129333,443.674,335.292,0.996999979019165
28,1464.671,517.113,1.0,1462.556,559.084,1.0,1464.187,599.697,1.0,,,,,,,,,,1224.849,442.662,1.0,1224.424,492.44,1.0,1215.767,541.532,1.0,509.451,428.649,0.9919999837875366,579.157,564.058,0.9480000138282776,626.178,670.816,0.9649999737739563,456.426,181.218,0.9909999966621399,461.037,248.071,0.9919999837875366,444.038,334.94,0.9959999918937683
29,1464.353,517.113,1.0,1462.883,559.27,1.0,1464.187,599.697,1.0,,,,,,,,,,1224.849,442.595,0.9990000128746033,1223.363,493.303,0.9990000128746033,1215.767,541.627,1.0,509.328,428.76,0.9890000224113464,578.897,564.058,0.8889999985694885,625.835,670.858,0.9599999785423279,456.426,181.07,0.9909999966621399,461.192,247.864,0.9929999709129333,444.042,334.912,0.9959999918937683
30,1464.299,517.321,1.0,1463.065,559.436,1.0,1464.187,599.697,1.0,,,,,,,,,,1224.849,442.595,1.0,1223.042,493.419,1.0,1215.253,541.975,1.0,509.451,428.76,0.9850000143051147,578.897,564.058,0.8050000071525574,625.835,670.891,0.9509999752044678,456.426,180.977,0.9909999966621399,461.037,247.861,0.9929999709129333,444.13,334.726,0.9959999918937683
31,1464.067,517.321,1.0,1463.514,559.562,1.0,1463.195,600.29,1.0,,,,,,,,,,1225.064,442.595,0.9990000128746033,1222.781,493.477,1.0,1215.407,542.002,1.0,509.612,428.76,0.9800000190734863,578.281,563.126,0.9319999814033508,626.26,670.891,0.9629999995231628,456.426,180.859,0.9919999837875366,460.997,247.864,0.9909999966621399,444.243,334.691,0.996999979019165
